BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   2.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.070  1720.   -4.19  5.37  0.091    0.000  22.70  19.18  16.93  13.64  12.60  11.81  10.96  10.62  11.28
 0.072  1811.   -4.09  5.38  0.091    0.000  22.40  18.93  16.61  13.11  12.26  11.66  10.85  10.51  11.21
 0.075  2083.   -3.84  5.38  0.093    0.000  21.74  18.35  15.83  12.12  11.53  11.26  10.59  10.23  11.02
 0.080  2348.   -3.57  5.35  0.099    0.000  20.23  17.13  14.56  11.43  10.92  10.64  10.16   9.85  10.48
 0.090  2643.   -3.25  5.29  0.113    0.000  18.01  15.53  13.14  10.74  10.22   9.91   9.56   9.32   9.63
 0.100  2810.   -3.06  5.25  0.124    0.000  16.48  14.52  12.34  10.32   9.79   9.48   9.17   8.96   9.17
 0.110  2915.   -2.92  5.22  0.135    0.000  15.80  13.94  11.86  10.01   9.48   9.19   8.91   8.71   8.88
 0.130  3045.   -2.73  5.17  0.156    0.000  14.63  13.12  11.22   9.56   9.03   8.75   8.50   8.32   8.45
 0.150  3130.   -2.58  5.13  0.174    0.000  13.76  12.52  10.77   9.24   8.71   8.43   8.19   8.02   8.12
 0.170  3191.   -2.46  5.10  0.192    0.000  13.28  12.10  10.44   8.98   8.44   8.17   7.93   7.77   7.86
 0.200  3261.   -2.32  5.07  0.217    0.000  12.73  11.62  10.04   8.64   8.10   7.84   7.61   7.46   7.55
 0.300  3415.   -1.98  4.98  0.293    0.000  11.54  10.53   9.13   7.85   7.29   7.05   6.85   6.72   6.79
 0.400  3519.   -1.71  4.89  0.374    0.000  10.68   9.74   8.43   7.22   6.65   6.42   6.24   6.12   6.19
 0.500  3679.   -1.45  4.81  0.462    0.000   9.74   8.87   7.73   6.61   6.02   5.81   5.65   5.57   5.65
 0.600  3969.   -1.16  4.72  0.557    0.000   8.63   7.86   6.98   5.98   5.35   5.19   5.07   5.03   5.13
 0.700  4396.   -0.86  4.67  0.640    0.000   7.54   6.80   6.21   5.35   4.75   4.65   4.59   4.57   4.68
 0.800  4842.   -0.59  4.62  0.725    0.001   6.54   5.96   5.50   4.80   4.31   4.24   4.19   4.19   4.27
 0.900  5244.   -0.33  4.56  0.827    0.073   5.75   5.27   4.88   4.30   3.91   3.85   3.82   3.81   3.87
 1.000  5627.   -0.10  4.49  0.944    0.306   5.06   4.66   4.31   3.83   3.51   3.47   3.45   3.44   3.48
 1.100  5945.    0.13  4.40  1.093    0.574   4.46   4.10   3.79   3.39   3.12   3.08   3.06   3.06   3.09
 1.200  6202.    0.33  4.31  1.274    0.770   3.92   3.60   3.32   2.96   2.73   2.69   2.68   2.68   2.69
 1.300  6403.    0.52  4.21  1.481    0.880   3.43   3.14   2.89   2.56   2.36   2.33   2.32   2.32   2.32
 1.400  6464.    0.68  4.10  1.751    0.938   3.02   2.74   2.49   2.18   1.98   1.95   1.95   1.94   1.94
