BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.0150
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.015  2237.   -3.11  4.08  0.185    1.000  19.18  16.38  13.81  10.36   9.83   9.36   8.92   8.59   8.93
 0.020  2495.   -2.74  4.02  0.229    1.000  17.01  14.64  12.18   9.44   8.96   8.54   8.17   7.90   8.10
 0.030  2614.   -2.69  4.22  0.222    1.000  16.35  14.09  11.75   9.32   8.84   8.46   8.12   7.87   8.04
 0.040  2721.   -2.55  4.28  0.240    1.000  15.30  13.38  11.16   9.00   8.50   8.14   7.83   7.60   7.73
 0.050  2827.   -2.41  4.30  0.261    1.000  14.62  12.79  10.69   8.69   8.20   7.86   7.56   7.35   7.46
 0.060  2892.   -2.30  4.32  0.282    1.000  14.05  12.41  10.35   8.45   7.95   7.62   7.34   7.14   7.24
 0.070  2943.   -2.21  4.32  0.302    1.000  13.64  12.09  10.07   8.24   7.73   7.42   7.15   6.95   7.05
 0.072  2952.   -2.19  4.32  0.307    1.000  13.57  12.03  10.02   8.20   7.69   7.38   7.11   6.91   7.01
 0.075  2965.   -2.17  4.32  0.312    1.000  13.46  11.95   9.95   8.14   7.63   7.33   7.06   6.86   6.96
 0.080  2986.   -2.13  4.32  0.324    1.000  13.29  11.80   9.81   8.04   7.53   7.22   6.97   6.77   6.87
 0.090  3023.   -2.06  4.32  0.342    1.000  12.97  11.54   9.60   7.88   7.36   7.07   6.82   6.63   6.72
 0.100  3056.   -2.01  4.34  0.355    1.000  12.69  11.32   9.43   7.76   7.24   6.95   6.71   6.52   6.61
 0.110  3086.   -1.95  4.34  0.373    1.000  12.41  11.09   9.25   7.62   7.09   6.81   6.58   6.39   6.47
 0.130  3131.   -1.84  4.33  0.407    1.000  12.01  10.75   8.96   7.39   6.85   6.57   6.35   6.17   6.25
 0.150  3169.   -1.76  4.33  0.438    0.999  11.70  10.47   8.73   7.19   6.64   6.38   6.16   5.99   6.06
 0.170  3205.   -1.68  4.33  0.469    0.997  11.41  10.22   8.51   7.01   6.45   6.19   5.99   5.82   5.89
 0.200  3252.   -1.59  4.33  0.508    0.985  11.07   9.91   8.25   6.79   6.23   5.97   5.77   5.61   5.69
 0.300  3374.   -1.34  4.33  0.623    0.594  10.18   9.12   7.59   6.23   5.64   5.40   5.23   5.09   5.17
 0.400  3498.   -1.17  4.34  0.707    0.000   9.49   8.52   7.12   5.85   5.24   5.01   4.85   4.74   4.82
 0.500  3621.   -1.03  4.36  0.774    0.000   8.89   7.99   6.74   5.54   4.91   4.70   4.56   4.47   4.56
 0.600  3748.   -0.91  4.37  0.834    0.001   8.36   7.52   6.40   5.28   4.62   4.44   4.31   4.24   4.34
 0.700  3891.   -0.78  4.38  0.895    0.003   7.83   7.04   6.07   5.01   4.34   4.18   4.07   4.02   4.14
 0.800  4054.   -0.65  4.38  0.955    0.021   7.34   6.56   5.73   4.74   4.07   3.93   3.85   3.82   3.94
 0.900  4263.   -0.51  4.37  1.020    0.111   6.78   6.01   5.35   4.44   3.79   3.68   3.62   3.60   3.72
 1.000  4530.   -0.35  4.36  1.092    0.318   6.13   5.46   4.92   4.11   3.53   3.44   3.39   3.38   3.48
 1.100  4850.   -0.15  4.33  1.189    0.576   5.45   4.88   4.42   3.72   3.24   3.17   3.12   3.12   3.20
 1.200  5264.    0.09  4.27  1.331    0.770   4.69   4.22   3.83   3.25   2.87   2.81   2.78   2.77   2.83
 1.300  5754.    0.40  4.15  1.593    0.880   3.81   3.43   3.10   2.65   2.35   2.30   2.29   2.28   2.32
 1.400  6422.    0.70  4.07  1.804    0.938   2.99   2.70   2.45   2.13   1.93   1.90   1.89   1.89   1.89
