BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.0500
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.015  1760.   -3.74  4.29  0.146    1.000  21.36  18.59  16.45  12.51  11.43  10.63   9.83   9.50   9.90
 0.020  1838.   -3.72  4.47  0.137    1.000  21.25  18.52  16.33  12.26  11.31  10.64   9.91   9.58   9.96
 0.030  2304.   -3.28  4.60  0.144    1.000  19.38  16.44  13.90  10.70  10.21   9.81   9.39   9.08   9.47
 0.040  2525.   -3.05  4.65  0.156    1.000  17.84  15.33  12.88  10.22   9.71   9.34   8.98   8.71   8.99
 0.050  2671.   -2.88  4.67  0.170    1.000  16.49  14.37  12.08   9.80   9.30   8.95   8.62   8.38   8.58
 0.060  2804.   -2.73  4.69  0.182    0.999  15.53  13.62  11.50   9.49   8.99   8.66   8.35   8.14   8.28
 0.070  2882.   -2.63  4.70  0.195    0.992  14.96  13.22  11.15   9.26   8.75   8.43   8.14   7.94   8.07
 0.072  2896.   -2.61  4.70  0.198    0.989  14.85  13.15  11.09   9.21   8.70   8.39   8.10   7.90   8.02
 0.075  2916.   -2.57  4.70  0.202    0.982  14.70  13.03  10.99   9.14   8.63   8.32   8.04   7.84   7.96
 0.080  2945.   -2.53  4.70  0.209    0.960  14.49  12.87  10.85   9.04   8.53   8.22   7.95   7.75   7.87
 0.090  2996.   -2.45  4.70  0.221    0.862  14.10  12.56  10.59   8.85   8.34   8.04   7.78   7.58   7.70
 0.100  3037.   -2.38  4.71  0.232    0.596  13.72  12.28  10.38   8.71   8.19   7.89   7.64   7.45   7.56
 0.110  3073.   -2.32  4.71  0.244    0.248  13.36  12.02  10.18   8.57   8.04   7.75   7.50   7.32   7.42
 0.130  3133.   -2.21  4.70  0.266    0.001  12.85  11.61   9.86   8.32   7.79   7.51   7.27   7.10   7.18
 0.150  3182.   -2.13  4.70  0.285    0.000  12.49  11.30   9.61   8.12   7.58   7.31   7.08   6.92   6.99
 0.170  3225.   -2.04  4.70  0.305    0.000  12.18  11.03   9.38   7.93   7.39   7.12   6.90   6.74   6.82
 0.200  3280.   -1.94  4.70  0.332    0.000  11.79  10.68   9.09   7.69   7.14   6.88   6.67   6.52   6.60
 0.300  3407.   -1.69  4.69  0.411    0.000  10.87   9.86   8.41   7.11   6.54   6.30   6.11   5.98   6.05
 0.400  3512.   -1.50  4.68  0.479    0.000  10.21   9.25   7.92   6.68   6.10   5.87   5.70   5.58   5.66
 0.500  3617.   -1.34  4.66  0.548    0.000   9.58   8.69   7.46   6.30   5.70   5.49   5.33   5.23   5.31
 0.600  3821.   -1.13  4.63  0.621    0.000   8.76   7.94   6.93   5.86   5.23   5.05   4.92   4.85   4.95
 0.700  4270.   -0.83  4.59  0.702    0.000   7.57   6.81   6.14   5.24   4.61   4.50   4.43   4.41   4.53
 0.800  4938.   -0.49  4.56  0.776    0.005   6.26   5.71   5.26   4.59   4.13   4.06   4.02   4.02   4.09
 0.900  5236.   -0.36  4.58  0.802    0.083   5.82   5.35   4.95   4.37   3.97   3.92   3.88   3.88   3.94
 1.000  5536.   -0.17  4.53  0.895    0.307   5.27   4.85   4.49   3.99   3.65   3.60   3.58   3.58   3.62
 1.100  5833.    0.03  4.47  1.013    0.574   4.72   4.35   4.03   3.60   3.31   3.27   3.25   3.25   3.28
 1.200  6133.    0.23  4.40  1.150    0.770   4.19   3.86   3.58   3.21   2.96   2.93   2.92   2.91   2.93
 1.300  6435.    0.40  4.34  1.283    0.880   3.72   3.43   3.18   2.86   2.66   2.63   2.62   2.62   2.63
 1.400  6759.    0.56  4.30  1.389    0.938   3.32   3.07   2.85   2.59   2.43   2.40   2.40   2.39   2.39
