BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.0200
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.015  2209.   -3.15  4.10  0.181    1.000  19.47  16.61  14.05  10.49   9.94   9.46   9.00   8.67   9.01
 0.020  2411.   -2.92  4.14  0.198    1.000  17.95  15.34  12.84   9.88   9.39   8.97   8.58   8.29   8.55
 0.030  2555.   -2.84  4.34  0.194    1.000  17.07  14.67  12.28   9.70   9.21   8.82   8.47   8.21   8.42
 0.040  2681.   -2.68  4.38  0.213    1.000  15.81  13.80  11.54   9.30   8.80   8.44   8.12   7.88   8.04
 0.050  2811.   -2.52  4.40  0.233    1.000  14.99  13.08  10.97   8.96   8.46   8.13   7.82   7.61   7.72
 0.060  2883.   -2.41  4.42  0.251    1.000  14.34  12.68  10.62   8.71   8.21   7.88   7.60   7.39   7.50
 0.070  2940.   -2.31  4.42  0.271    1.000  13.88  12.33  10.31   8.48   7.98   7.66   7.39   7.19   7.29
 0.072  2950.   -2.29  4.42  0.275    1.000  13.80  12.26  10.26   8.44   7.93   7.62   7.35   7.15   7.25
 0.075  2964.   -2.27  4.42  0.279    1.000  13.69  12.18  10.18   8.39   7.88   7.57   7.30   7.10   7.20
 0.080  2986.   -2.22  4.42  0.290    1.000  13.50  12.02  10.05   8.28   7.77   7.47   7.21   7.01   7.11
 0.090  3025.   -2.15  4.42  0.306    1.000  13.17  11.75   9.83   8.12   7.61   7.31   7.06   6.87   6.96
 0.100  3059.   -2.10  4.43  0.319    1.000  12.87  11.51   9.65   7.99   7.47   7.18   6.93   6.75   6.83
 0.110  3090.   -2.03  4.43  0.336    0.999  12.58  11.27   9.46   7.85   7.32   7.04   6.80   6.62   6.70
 0.130  3141.   -1.93  4.42  0.366    0.996  12.16  10.92   9.16   7.61   7.07   6.80   6.57   6.40   6.47
 0.150  3182.   -1.84  4.42  0.396    0.987  11.83  10.62   8.91   7.40   6.85   6.59   6.37   6.20   6.27
 0.170  3215.   -1.77  4.42  0.422    0.960  11.56  10.39   8.71   7.23   6.68   6.41   6.20   6.04   6.11
 0.200  3263.   -1.67  4.41  0.460    0.852  11.21  10.07   8.43   6.99   6.44   6.18   5.98   5.82   5.89
 0.300  3392.   -1.42  4.41  0.565    0.006  10.30   9.26   7.76   6.42   5.84   5.60   5.43   5.29   5.37
 0.400  3500.   -1.25  4.42  0.643    0.000   9.66   8.69   7.31   6.05   5.45   5.23   5.06   4.95   5.02
 0.500  3609.   -1.11  4.43  0.710    0.000   9.09   8.19   6.93   5.74   5.12   4.91   4.76   4.66   4.75
 0.600  3733.   -0.98  4.44  0.771    0.000   8.55   7.71   6.58   5.46   4.82   4.63   4.50   4.42   4.52
 0.700  3894.   -0.85  4.45  0.829    0.000   7.98   7.19   6.22   5.18   4.51   4.35   4.24   4.19   4.30
 0.800  4102.   -0.69  4.44  0.895    0.009   7.41   6.60   5.81   4.84   4.17   4.04   3.97   3.94   4.06
 0.900  4406.   -0.50  4.42  0.966    0.089   6.62   5.90   5.32   4.46   3.85   3.75   3.69   3.68   3.79
 1.000  4793.   -0.28  4.39  1.057    0.308   5.79   5.20   4.73   4.01   3.51   3.44   3.39   3.38   3.47
 1.100  5302.    0.01  4.32  1.198    0.575   4.87   4.42   4.03   3.46   3.09   3.03   3.00   2.99   3.05
 1.200  5911.    0.35  4.21  1.430    0.770   3.90   3.54   3.23   2.82   2.54   2.50   2.49   2.48   2.51
 1.300  6330.    0.41  4.30  1.340    0.880   3.71   3.40   3.14   2.81   2.59   2.56   2.55   2.55   2.55
 1.400  6475.    0.50  4.28  1.415    0.938   3.48   3.20   2.95   2.64   2.44   2.41   2.40   2.40   2.40
