BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.0800
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.030  2047.   -3.58  4.69  0.129    1.000  20.82  17.93  15.50  11.56  10.90  10.46   9.88   9.53  10.03
 0.040  2387.   -3.26  4.76  0.138    1.000  19.09  16.26  13.73  10.69  10.18   9.81   9.40   9.10   9.49
 0.050  2586.   -3.06  4.80  0.148    0.999  17.70  15.16  12.75  10.24   9.73   9.38   9.03   8.77   9.04
 0.060  2709.   -2.92  4.82  0.158    0.985  16.39  14.39  12.13   9.93   9.41   9.08   8.75   8.52   8.72
 0.070  2829.   -2.78  4.83  0.169    0.864  15.55  13.72  11.60   9.64   9.12   8.80   8.50   8.29   8.44
 0.072  2845.   -2.76  4.83  0.171    0.801  15.45  13.64  11.54   9.59   9.08   8.76   8.46   8.25   8.40
 0.075  2869.   -2.73  4.83  0.174    0.680  15.31  13.52  11.44   9.52   9.01   8.69   8.40   8.19   8.34
 0.080  2905.   -2.69  4.83  0.179    0.407  15.09  13.34  11.28   9.42   8.90   8.59   8.31   8.10   8.24
 0.090  2962.   -2.60  4.84  0.190    0.020  14.67  13.02  11.01   9.23   8.71   8.41   8.14   7.94   8.07
 0.100  3010.   -2.54  4.84  0.198    0.000  14.30  12.74  10.78   9.07   8.55   8.26   8.00   7.81   7.93
 0.110  3052.   -2.47  4.84  0.208    0.000  13.88  12.45  10.58   8.93   8.41   8.12   7.86   7.68   7.79
 0.130  3120.   -2.36  4.84  0.227    0.000  13.25  12.00  10.23   8.68   8.15   7.87   7.63   7.45   7.55
 0.150  3173.   -2.26  4.84  0.245    0.000  12.86  11.66   9.96   8.46   7.93   7.66   7.42   7.26   7.34
 0.170  3217.   -2.18  4.83  0.261    0.000  12.53  11.37   9.73   8.28   7.73   7.47   7.24   7.08   7.16
 0.200  3275.   -2.08  4.83  0.285    0.000  12.12  11.01   9.43   8.03   7.48   7.23   7.01   6.86   6.94
 0.300  3406.   -1.82  4.81  0.355    0.000  11.18  10.16   8.73   7.43   6.87   6.63   6.44   6.30   6.37
 0.400  3522.   -1.61  4.79  0.421    0.000  10.44   9.49   8.18   6.96   6.38   6.15   5.98   5.86   5.94
 0.500  3668.   -1.40  4.75  0.496    0.000   9.63   8.76   7.60   6.47   5.87   5.66   5.51   5.42   5.50
 0.600  4039.   -1.09  4.68  0.583    0.000   8.41   7.63   6.80   5.82   5.18   5.03   4.93   4.90   5.00
 0.700  4497.   -0.83  4.68  0.636    0.000   7.37   6.67   6.12   5.30   4.72   4.63   4.57   4.56   4.67
 0.800  4830.   -0.61  4.64  0.705    0.005   6.62   6.04   5.57   4.87   4.38   4.30   4.26   4.25   4.34
 0.900  5212.   -0.37  4.59  0.799    0.082   5.86   5.38   4.97   4.39   3.99   3.93   3.90   3.89   3.95
 1.000  5533.   -0.17  4.53  0.901    0.307   5.26   4.84   4.48   3.98   3.64   3.59   3.57   3.56   3.61
 1.100  5876.    0.05  4.46  1.019    0.574   4.67   4.30   3.99   3.56   3.28   3.24   3.23   3.22   3.25
 1.200  6164.    0.24  4.39  1.152    0.770   4.17   3.84   3.56   3.19   2.95   2.92   2.91   2.90   2.92
 1.300  6451.    0.41  4.33  1.283    0.880   3.71   3.42   3.17   2.86   2.66   2.63   2.62   2.62   2.62
 1.400  6766.    0.56  4.30  1.391    0.938   3.31   3.06   2.85   2.58   2.42   2.40   2.39   2.39   2.39
