BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.0400
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.015  1996.   -3.45  4.22  0.158    1.000  20.80  17.86  15.41  11.26  10.61  10.05   9.48   9.14   9.52
 0.020  2005.   -3.52  4.42  0.144    1.000  20.87  17.95  15.51  11.39  10.75  10.24   9.66   9.32   9.74
 0.030  2366.   -3.18  4.55  0.153    1.000  18.90  16.13  13.60  10.52  10.00   9.60   9.19   8.89   9.24
 0.040  2581.   -2.95  4.59  0.167    1.000  17.39  14.87  12.49   9.97   9.49   9.12   8.77   8.51   8.75
 0.050  2699.   -2.80  4.61  0.183    1.000  15.99  14.04  11.79   9.60   9.10   8.75   8.43   8.20   8.37
 0.060  2830.   -2.65  4.63  0.196    1.000  15.24  13.38  11.28   9.31   8.81   8.48   8.17   7.96   8.10
 0.070  2904.   -2.55  4.63  0.211    0.999  14.64  12.98  10.93   9.07   8.56   8.24   7.96   7.75   7.87
 0.072  2916.   -2.53  4.63  0.214    0.998  14.55  12.91  10.87   9.02   8.51   8.20   7.92   7.72   7.84
 0.075  2933.   -2.50  4.64  0.218    0.996  14.43  12.82  10.79   8.97   8.45   8.14   7.87   7.67   7.78
 0.080  2961.   -2.45  4.63  0.225    0.993  14.21  12.64  10.64   8.86   8.34   8.04   7.77   7.57   7.68
 0.090  3007.   -2.38  4.64  0.239    0.973  13.84  12.35  10.40   8.68   8.16   7.86   7.60   7.41   7.52
 0.100  3046.   -2.31  4.64  0.250    0.906  13.48  12.08  10.20   8.54   8.01   7.72   7.47   7.29   7.38
 0.110  3081.   -2.25  4.64  0.263    0.778  13.14  11.82  10.00   8.39   7.86   7.58   7.33   7.15   7.24
 0.130  3138.   -2.14  4.64  0.287    0.288  12.67  11.43   9.69   8.15   7.61   7.34   7.10   6.93   7.01
 0.150  3187.   -2.05  4.63  0.309    0.011  12.30  11.11   9.43   7.94   7.40   7.13   6.90   6.74   6.81
 0.170  3229.   -1.97  4.63  0.330    0.000  12.00  10.85   9.20   7.75   7.21   6.94   6.73   6.57   6.64
 0.200  3280.   -1.87  4.63  0.360    0.000  11.63  10.52   8.92   7.51   6.96   6.71   6.50   6.35   6.42
 0.300  3410.   -1.62  4.62  0.443    0.000  10.71   9.69   8.24   6.94   6.37   6.13   5.94   5.81   5.88
 0.400  3509.   -1.44  4.62  0.514    0.000  10.07   9.11   7.77   6.53   5.95   5.72   5.55   5.43   5.51
 0.500  3606.   -1.29  4.61  0.580    0.000   9.50   8.60   7.36   6.18   5.58   5.37   5.21   5.11   5.19
 0.600  3771.   -1.12  4.59  0.647    0.000   8.80   7.97   6.90   5.81   5.18   4.99   4.86   4.79   4.88
 0.700  4084.   -0.88  4.56  0.723    0.000   7.89   7.09   6.28   5.32   4.66   4.53   4.44   4.41   4.53
 0.800  4645.   -0.57  4.53  0.806    0.005   6.61   5.97   5.46   4.69   4.15   4.07   4.02   4.01   4.11
 0.900  5301.   -0.25  4.49  0.892    0.083   5.52   5.06   4.67   4.11   3.72   3.67   3.64   3.63   3.69
 1.000  5570.   -0.15  4.53  0.900    0.307   5.22   4.81   4.46   3.96   3.63   3.58   3.56   3.56   3.60
 1.100  5822.    0.02  4.47  1.006    0.575   4.74   4.37   4.05   3.61   3.32   3.28   3.27   3.26   3.30
 1.200  6090.    0.21  4.40  1.145    0.770   4.24   3.90   3.61   3.23   2.98   2.94   2.93   2.93   2.95
 1.300  6413.    0.40  4.33  1.287    0.880   3.73   3.44   3.18   2.86   2.66   2.63   2.62   2.62   2.62
 1.400  6757.    0.56  4.30  1.389    0.938   3.32   3.07   2.85   2.59   2.43   2.40   2.40   2.39   2.39
