BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.5000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.050  1698.   -4.12  5.13  0.101    0.947  22.46  19.14  16.99  13.62  12.46  11.55  10.63  10.28  10.97
 0.060  2082.   -3.76  5.20  0.102    0.001  21.45  18.21  15.74  11.98  11.35  11.01  10.38  10.03  10.73
 0.070  2335.   -3.53  5.24  0.105    0.000  20.13  17.08  14.51  11.34  10.83  10.52  10.05   9.74  10.32
 0.072  2378.   -3.49  5.25  0.106    0.000  19.88  16.89  14.33  11.27  10.74  10.43   9.98   9.68  10.24
 0.075  2435.   -3.44  5.25  0.107    0.000  19.46  16.61  14.08  11.17  10.62  10.32   9.90   9.60  10.12
 0.080  2539.   -3.34  5.25  0.111    0.000  18.68  16.07  13.59  10.94  10.40  10.09   9.71   9.44   9.85
 0.090  2696.   -3.18  5.25  0.118    0.000  17.44  15.13  12.82  10.55  10.05   9.74   9.40   9.17   9.44
 0.100  2828.   -3.03  5.23  0.127    0.000  16.34  14.40  12.23  10.25   9.72   9.41   9.11   8.90   9.10
 0.110  2921.   -2.91  5.21  0.137    0.000  15.74  13.89  11.82   9.98   9.45   9.16   8.88   8.68   8.85
 0.130  3046.   -2.72  5.16  0.156    0.000  14.62  13.11  11.21   9.56   9.03   8.75   8.49   8.31   8.45
 0.150  3130.   -2.58  5.13  0.175    0.000  13.76  12.52  10.77   9.24   8.71   8.43   8.18   8.02   8.12
 0.170  3191.   -2.46  5.10  0.192    0.000  13.28  12.10  10.44   8.97   8.44   8.17   7.93   7.77   7.86
 0.200  3260.   -2.32  5.07  0.217    0.000  12.74  11.62  10.04   8.64   8.10   7.84   7.62   7.46   7.55
 0.300  3415.   -1.99  4.99  0.290    0.000  11.56  10.56   9.15   7.87   7.32   7.07   6.87   6.74   6.81
 0.400  3524.   -1.73  4.91  0.367    0.000  10.71   9.76   8.46   7.25   6.69   6.45   6.27   6.16   6.23
 0.500  3682.   -1.46  4.82  0.457    0.000   9.75   8.88   7.75   6.63   6.04   5.83   5.67   5.59   5.67
 0.600  3968.   -1.17  4.73  0.552    0.000   8.66   7.88   7.00   6.00   5.37   5.21   5.10   5.05   5.15
 0.700  4386.   -0.87  4.68  0.634    0.000   7.57   6.84   6.24   5.38   4.78   4.67   4.61   4.60   4.71
 0.800  4821.   -0.60  4.63  0.715    0.003   6.60   6.02   5.55   4.84   4.35   4.27   4.23   4.22   4.31
 0.900  5211.   -0.36  4.57  0.810    0.080   5.83   5.35   4.95   4.36   3.96   3.90   3.87   3.86   3.92
 1.000  5576.   -0.14  4.52  0.913    0.307   5.18   4.77   4.42   3.93   3.60   3.55   3.53   3.52   3.57
 1.100  5904.    0.07  4.45  1.035    0.574   4.61   4.25   3.93   3.52   3.24   3.20   3.19   3.18   3.21
 1.200  6182.    0.26  4.38  1.176    0.770   4.11   3.78   3.50   3.14   2.90   2.87   2.86   2.86   2.87
 1.300  6451.    0.43  4.31  1.316    0.880   3.66   3.37   3.12   2.80   2.60   2.57   2.57   2.56   2.57
 1.400  6742.    0.59  4.26  1.444    0.938   3.25   3.00   2.78   2.51   2.35   2.32   2.32   2.31   2.31
