BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   4.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.070  1631.   -4.29  5.38  0.090    0.000  23.42  19.71  17.43  14.08  12.94  12.08  11.17  10.79  11.44
 0.072  1790.   -4.12  5.38  0.091    0.000  22.46  18.98  16.68  13.23  12.34  11.70  10.88  10.54  11.23
 0.075  2041.   -3.88  5.39  0.092    0.000  21.88  18.46  16.00  12.31  11.67  11.34  10.65  10.30  11.05
 0.080  2343.   -3.58  5.35  0.099    0.000  20.27  17.16  14.58  11.44  10.93  10.65  10.17   9.86  10.50
 0.090  2644.   -3.25  5.29  0.113    0.000  18.00  15.52  13.14  10.74  10.22   9.91   9.56   9.31   9.63
 0.100  2811.   -3.06  5.25  0.124    0.000  16.48  14.52  12.33  10.32   9.79   9.48   9.17   8.96   9.17
 0.110  2916.   -2.92  5.22  0.135    0.000  15.80  13.94  11.86  10.01   9.48   9.19   8.91   8.71   8.88
 0.130  3046.   -2.73  5.17  0.156    0.000  14.62  13.11  11.22   9.56   9.03   8.75   8.50   8.31   8.45
 0.150  3131.   -2.58  5.13  0.174    0.000  13.76  12.51  10.77   9.24   8.71   8.43   8.18   8.02   8.12
 0.170  3192.   -2.46  5.10  0.192    0.000  13.27  12.10  10.44   8.97   8.43   8.17   7.93   7.77   7.86
 0.200  3262.   -2.32  5.06  0.217    0.000  12.73  11.61  10.03   8.63   8.09   7.83   7.61   7.46   7.54
 0.300  3416.   -1.97  4.97  0.297    0.000  11.51  10.50   9.09   7.81   7.26   7.02   6.82   6.69   6.76
 0.400  3520.   -1.71  4.89  0.376    0.000  10.67   9.72   8.42   7.20   6.64   6.40   6.22   6.11   6.18
 0.500  3680.   -1.45  4.80  0.465    0.000   9.72   8.86   7.72   6.60   6.00   5.79   5.64   5.55   5.63
 0.600  3979.   -1.15  4.72  0.561    0.000   8.60   7.83   6.95   5.96   5.32   5.16   5.05   5.01   5.11
 0.700  4418.   -0.85  4.66  0.646    0.000   7.48   6.75   6.17   5.32   4.72   4.62   4.56   4.55   4.66
 0.800  4878.   -0.56  4.61  0.736    0.000   6.46   5.89   5.43   4.74   4.27   4.20   4.15   4.15   4.23
 0.900  5297.   -0.29  4.53  0.850    0.068   5.63   5.16   4.78   4.21   3.83   3.77   3.74   3.74   3.80
 1.000  5697.   -0.03  4.44  0.994    0.306   4.88   4.49   4.16   3.69   3.38   3.34   3.32   3.32   3.35
 1.100  5996.    0.23  4.32  1.204    0.574   4.20   3.86   3.55   3.16   2.89   2.86   2.84   2.84   2.86
 1.200  6053.    0.43  4.17  1.491    0.770   3.69   3.36   3.06   2.67   2.42   2.38   2.37   2.37   2.39
