BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.0100
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.010  1570.   -3.87  4.05  0.156    1.000  21.69  18.78  16.71  13.28  12.03  10.94   9.84   9.50   9.89
 0.015  2261.   -3.08  4.06  0.189    1.000  18.97  16.20  13.63  10.26   9.74   9.27   8.85   8.53   8.86
 0.020  2519.   -2.67  3.96  0.244    1.000  16.69  14.37  11.94   9.27   8.78   8.37   8.01   7.74   7.92
 0.030  2682.   -2.43  4.01  0.283    1.000  15.26  13.27  11.00   8.71   8.23   7.85   7.52   7.29   7.41
 0.040  2768.   -2.35  4.11  0.292    1.000  14.66  12.80  10.63   8.52   8.03   7.68   7.37   7.15   7.25
 0.050  2843.   -2.23  4.14  0.315    1.000  14.10  12.36  10.25   8.26   7.77   7.44   7.15   6.93   7.03
 0.060  2900.   -2.15  4.16  0.335    1.000  13.65  12.03   9.97   8.06   7.56   7.24   6.97   6.76   6.85
 0.070  2946.   -2.06  4.18  0.358    1.000  13.29  11.74   9.71   7.86   7.36   7.05   6.79   6.58   6.67
 0.072  2954.   -2.04  4.18  0.363    1.000  13.22  11.68   9.66   7.82   7.31   7.01   6.75   6.54   6.64
 0.075  2967.   -2.02  4.18  0.369    1.000  13.12  11.60   9.59   7.77   7.26   6.96   6.70   6.50   6.59
 0.080  2987.   -1.98  4.17  0.383    1.000  12.95  11.45   9.46   7.66   7.15   6.85   6.61   6.40   6.50
 0.090  3021.   -1.91  4.18  0.405    1.000  12.65  11.21   9.25   7.51   6.99   6.70   6.46   6.26   6.35
 0.100  3050.   -1.87  4.20  0.416    1.000  12.42  11.03   9.12   7.42   6.90   6.61   6.37   6.18   6.27
 0.110  3075.   -1.82  4.20  0.435    1.000  12.18  10.83   8.96   7.30   6.77   6.49   6.25   6.07   6.15
 0.130  3118.   -1.72  4.20  0.475    1.000  11.78  10.49   8.67   7.06   6.53   6.25   6.03   5.85   5.92
 0.150  3159.   -1.64  4.20  0.509    1.000  11.47  10.22   8.44   6.87   6.33   6.06   5.85   5.67   5.75
 0.170  3197.   -1.56  4.20  0.544    1.000  11.18   9.96   8.22   6.69   6.13   5.87   5.67   5.50   5.58
 0.200  3240.   -1.47  4.20  0.587    1.000  10.85   9.67   7.97   6.48   5.92   5.66   5.47   5.30   5.38
 0.300  3363.   -1.23  4.21  0.713    0.979   9.98   8.90   7.33   5.94   5.35   5.11   4.94   4.80   4.88
 0.400  3508.   -1.05  4.23  0.805    0.663   9.21   8.24   6.83   5.55   4.93   4.71   4.56   4.44   4.53
 0.500  3651.   -0.91  4.25  0.880    0.024   8.56   7.67   6.43   5.24   4.58   4.39   4.26   4.17   4.27
 0.600  3781.   -0.79  4.27  0.942    0.020   8.03   7.20   6.10   4.99   4.31   4.14   4.02   3.96   4.07
 0.700  3908.   -0.67  4.28  1.005    0.036   7.54   6.76   5.81   4.75   4.06   3.91   3.81   3.76   3.88
 0.800  4041.   -0.57  4.29  1.064    0.086   7.13   6.36   5.52   4.52   3.83   3.70   3.62   3.59   3.71
 0.900  4191.   -0.46  4.29  1.121    0.191   6.72   5.94   5.23   4.29   3.63   3.51   3.44   3.42   3.54
 1.000  4363.   -0.34  4.29  1.189    0.383   6.25   5.52   4.91   4.04   3.42   3.31   3.26   3.24   3.36
 1.100  4553.   -0.21  4.28  1.259    0.597   5.78   5.12   4.59   3.78   3.22   3.13   3.08   3.07   3.17
 1.200  4768.   -0.07  4.26  1.347    0.774   5.30   4.70   4.23   3.50   3.00   2.92   2.87   2.86   2.95
 1.300  5038.    0.09  4.22  1.459    0.880   4.76   4.24   3.81   3.17   2.74   2.67   2.63   2.63   2.70
 1.400  5363.    0.29  4.16  1.624    0.938   4.15   3.70   3.32   2.78   2.41   2.36   2.33   2.32   2.38
