BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   5.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.070  1627.   -4.30  5.38  0.090    0.000  23.43  19.72  17.44  14.10  12.96  12.09  11.17  10.81  11.43
 0.072  1790.   -4.12  5.38  0.091    0.000  22.46  18.98  16.68  13.23  12.35  11.70  10.88  10.54  11.23
 0.075  2038.   -3.89  5.39  0.091    0.000  21.90  18.47  16.01  12.33  11.68  11.35  10.65  10.30  11.05
 0.080  2343.   -3.58  5.35  0.099    0.000  20.27  17.16  14.58  11.44  10.93  10.65  10.17   9.86  10.50
 0.090  2644.   -3.25  5.29  0.113    0.000  18.00  15.52  13.14  10.74  10.22   9.91   9.56   9.31   9.63
 0.100  2811.   -3.06  5.25  0.124    0.000  16.48  14.52  12.33  10.32   9.79   9.48   9.17   8.96   9.17
 0.110  2916.   -2.92  5.22  0.135    0.000  15.80  13.94  11.86  10.01   9.48   9.19   8.91   8.70   8.88
 0.130  3046.   -2.73  5.17  0.156    0.000  14.62  13.11  11.21   9.56   9.03   8.75   8.50   8.31   8.45
 0.150  3131.   -2.58  5.13  0.175    0.000  13.76  12.51  10.77   9.24   8.71   8.43   8.18   8.02   8.12
 0.170  3192.   -2.46  5.10  0.192    0.000  13.27  12.09  10.43   8.97   8.43   8.16   7.93   7.77   7.86
 0.200  3262.   -2.32  5.06  0.218    0.000  12.72  11.61  10.03   8.63   8.09   7.83   7.60   7.45   7.54
 0.300  3416.   -1.96  4.96  0.299    0.000  11.50  10.49   9.08   7.80   7.25   7.00   6.81   6.67   6.74
 0.400  3521.   -1.71  4.89  0.377    0.000  10.66   9.71   8.41   7.20   6.63   6.40   6.22   6.10   6.17
 0.500  3682.   -1.44  4.80  0.467    0.000   9.72   8.85   7.71   6.59   6.00   5.79   5.63   5.55   5.63
 0.600  3984.   -1.15  4.72  0.562    0.000   8.58   7.81   6.94   5.95   5.31   5.15   5.04   5.00   5.10
 0.700  4430.   -0.84  4.66  0.648    0.000   7.45   6.73   6.15   5.30   4.71   4.61   4.55   4.54   4.65
 0.800  4896.   -0.55  4.60  0.742    0.000   6.42   5.85   5.40   4.72   4.24   4.17   4.13   4.13   4.20
 0.900  5325.   -0.27  4.52  0.863    0.066   5.56   5.11   4.72   4.16   3.79   3.73   3.70   3.70   3.76
 1.000  5732.    0.01  4.41  1.028    0.306   4.78   4.39   4.06   3.61   3.30   3.26   3.24   3.24   3.27
 1.100  5971.    0.27  4.26  1.281    0.574   4.09   3.74   3.43   3.03   2.77   2.73   2.71   2.71   2.73
