BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   1.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.060  1584.   -4.30  5.27  0.094    0.000  23.41  19.73  17.48  14.19  12.99  12.07  11.12  10.77  11.35
 0.070  2047.   -3.85  5.33  0.094    0.000  21.78  18.42  15.96  12.24  11.59  11.26  10.58  10.22  10.96
 0.072  2109.   -3.79  5.34  0.095    0.000  21.60  18.25  15.72  12.01  11.43  11.16  10.52  10.15  10.93
 0.075  2243.   -3.67  5.34  0.097    0.000  21.01  17.74  15.19  11.77  11.21  10.90  10.33  10.00  10.67
 0.080  2400.   -3.51  5.33  0.102    0.000  19.87  16.89  14.33  11.32  10.78  10.49  10.04   9.74  10.33
 0.090  2648.   -3.25  5.29  0.113    0.000  17.96  15.49  13.11  10.73  10.21   9.90   9.55   9.30   9.62
 0.100  2810.   -3.06  5.25  0.124    0.000  16.48  14.52  12.33  10.32   9.79   9.48   9.17   8.96   9.17
 0.110  2915.   -2.92  5.22  0.135    0.000  15.80  13.94  11.86  10.01   9.48   9.19   8.91   8.71   8.88
 0.130  3045.   -2.73  5.17  0.156    0.000  14.63  13.12  11.22   9.56   9.03   8.75   8.50   8.32   8.45
 0.150  3130.   -2.58  5.13  0.174    0.000  13.76  12.52  10.78   9.24   8.71   8.43   8.19   8.02   8.12
 0.170  3191.   -2.46  5.10  0.192    0.000  13.28  12.10  10.44   8.98   8.44   8.17   7.93   7.77   7.86
 0.200  3261.   -2.32  5.07  0.217    0.000  12.74  11.62  10.04   8.64   8.10   7.84   7.62   7.46   7.55
 0.300  3415.   -1.99  4.99  0.291    0.000  11.56  10.55   9.14   7.86   7.31   7.07   6.87   6.74   6.81
 0.400  3520.   -1.72  4.90  0.372    0.000  10.69   9.75   8.44   7.23   6.66   6.43   6.25   6.14   6.21
 0.500  3680.   -1.46  4.81  0.460    0.000   9.75   8.88   7.74   6.62   6.03   5.82   5.66   5.58   5.66
 0.600  3967.   -1.16  4.73  0.554    0.000   8.65   7.87   6.99   5.99   5.36   5.20   5.09   5.04   5.14
 0.700  4387.   -0.87  4.67  0.637    0.000   7.56   6.83   6.23   5.37   4.76   4.66   4.60   4.59   4.70
 0.800  4826.   -0.60  4.63  0.719    0.002   6.58   6.00   5.53   4.82   4.34   4.26   4.22   4.21   4.29
 0.900  5220.   -0.35  4.57  0.816    0.078   5.80   5.32   4.92   4.34   3.94   3.88   3.85   3.85   3.91
 1.000  5592.   -0.13  4.51  0.923    0.306   5.14   4.74   4.39   3.90   3.57   3.52   3.50   3.50   3.54
 1.100  5916.    0.09  4.43  1.054    0.574   4.56   4.20   3.89   3.48   3.20   3.16   3.15   3.14   3.17
 1.200  6187.    0.28  4.36  1.204    0.770   4.05   3.73   3.45   3.09   2.85   2.82   2.81   2.80   2.82
 1.300  6438.    0.46  4.28  1.363    0.880   3.59   3.30   3.05   2.73   2.53   2.50   2.49   2.49   2.49
 1.400  6684.    0.62  4.22  1.521    0.938   3.17   2.91   2.69   2.42   2.24   2.22   2.21   2.21   2.21
