BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.0300
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.015  2139.   -3.26  4.15  0.171    1.000  19.92  17.03  14.47  10.74  10.16   9.67   9.18   8.85   9.22
 0.020  2184.   -3.29  4.34  0.159    1.000  20.10  17.08  14.50  10.83  10.25   9.78   9.30   8.97   9.34
 0.030  2448.   -3.05  4.47  0.167    1.000  18.15  15.51  13.04  10.18   9.69   9.30   8.92   8.63   8.92
 0.040  2632.   -2.83  4.51  0.185    1.000  16.68  14.35  12.04   9.67   9.19   8.82   8.49   8.24   8.43
 0.050  2755.   -2.68  4.53  0.200    1.000  15.55  13.59  11.42   9.34   8.84   8.50   8.18   7.96   8.10
 0.060  2860.   -2.55  4.54  0.217    1.000  14.82  13.06  10.98   9.05   8.55   8.22   7.93   7.72   7.84
 0.070  2925.   -2.45  4.55  0.233    1.000  14.28  12.70  10.67   8.83   8.32   8.01   7.73   7.53   7.64
 0.072  2936.   -2.43  4.55  0.236    1.000  14.20  12.63  10.61   8.79   8.28   7.97   7.69   7.49   7.60
 0.075  2952.   -2.40  4.55  0.241    1.000  14.07  12.52  10.52   8.72   8.21   7.90   7.63   7.43   7.54
 0.080  2977.   -2.36  4.55  0.249    0.999  13.88  12.37  10.39   8.62   8.11   7.81   7.54   7.35   7.45
 0.090  3020.   -2.28  4.55  0.264    0.997  13.51  12.08  10.15   8.45   7.93   7.64   7.38   7.19   7.29
 0.100  3056.   -2.22  4.55  0.277    0.990  13.18  11.82   9.95   8.31   7.78   7.49   7.24   7.06   7.15
 0.110  3089.   -2.16  4.56  0.289    0.973  12.88  11.58   9.77   8.17   7.65   7.36   7.12   6.94   7.02
 0.130  3145.   -2.05  4.55  0.317    0.888  12.42  11.19   9.45   7.92   7.38   7.11   6.88   6.71   6.78
 0.150  3193.   -1.96  4.55  0.342    0.653  12.06  10.88   9.19   7.71   7.17   6.90   6.67   6.51   6.58
 0.170  3231.   -1.88  4.54  0.366    0.297  11.78  10.62   8.98   7.52   6.98   6.71   6.50   6.34   6.41
 0.200  3279.   -1.78  4.54  0.398    0.008  11.42  10.31   8.71   7.29   6.74   6.49   6.28   6.13   6.20
 0.300  3413.   -1.54  4.54  0.488    0.000  10.50   9.49   8.03   6.72   6.15   5.91   5.73   5.60   5.67
 0.400  3508.   -1.36  4.54  0.564    0.000   9.89   8.93   7.58   6.33   5.74   5.51   5.34   5.23   5.30
 0.500  3602.   -1.23  4.54  0.627    0.000   9.36   8.45   7.20   6.02   5.41   5.20   5.04   4.94   5.02
 0.600  3739.   -1.08  4.54  0.692    0.000   8.75   7.91   6.80   5.69   5.06   4.87   4.73   4.66   4.75
 0.700  3960.   -0.90  4.52  0.758    0.000   8.01   7.24   6.33   5.32   4.66   4.50   4.40   4.36   4.47
 0.800  4320.   -0.66  4.50  0.834    0.005   7.11   6.36   5.73   4.84   4.20   4.10   4.04   4.02   4.14
 0.900  4848.   -0.37  4.46  0.925    0.083   6.00   5.43   4.97   4.27   3.78   3.71   3.67   3.66   3.74
 1.000  5520.   -0.03  4.39  1.053    0.307   4.93   4.51   4.15   3.64   3.30   3.26   3.23   3.23   3.27
 1.100  5897.    0.07  4.44  1.045    0.575   4.59   4.23   3.92   3.50   3.22   3.18   3.17   3.16   3.19
 1.200  6052.    0.19  4.41  1.133    0.770   4.29   3.95   3.65   3.27   3.01   2.98   2.96   2.96   2.98
 1.300  6335.    0.38  4.33  1.287    0.880   3.79   3.49   3.22   2.89   2.67   2.64   2.64   2.63   2.64
 1.400  6743.    0.56  4.29  1.400    0.938   3.32   3.06   2.84   2.58   2.41   2.39   2.38   2.38   2.38
