BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.0250
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.015  2181.   -3.20  4.12  0.177    1.000  19.69  16.79  14.23  10.59  10.03   9.54   9.07   8.74   9.09
 0.020  2306.   -3.12  4.27  0.172    1.000  18.95  16.11  13.57  10.35   9.85   9.42   9.00   8.69   9.02
 0.030  2500.   -2.95  4.41  0.178    1.000  17.57  15.17  12.71   9.98   9.48   9.09   8.72   8.45   8.70
 0.040  2655.   -2.76  4.45  0.196    1.000  16.27  14.10  11.81   9.51   9.02   8.66   8.33   8.09   8.26
 0.050  2792.   -2.60  4.47  0.214    1.000  15.29  13.31  11.19   9.16   8.66   8.32   8.01   7.80   7.92
 0.060  2874.   -2.48  4.49  0.231    1.000  14.58  12.88  10.81   8.90   8.40   8.07   7.78   7.58   7.69
 0.070  2935.   -2.38  4.49  0.249    1.000  14.06  12.51  10.50   8.67   8.16   7.85   7.57   7.37   7.48
 0.072  2946.   -2.36  4.49  0.253    1.000  13.98  12.45  10.44   8.63   8.12   7.81   7.54   7.34   7.44
 0.075  2961.   -2.34  4.49  0.257    1.000  13.87  12.36  10.36   8.57   8.07   7.75   7.49   7.29   7.39
 0.080  2985.   -2.30  4.49  0.266    1.000  13.67  12.20  10.23   8.47   7.96   7.65   7.39   7.19   7.29
 0.090  3026.   -2.22  4.49  0.283    0.999  13.32  11.91   9.99   8.29   7.78   7.48   7.23   7.04   7.13
 0.100  3061.   -2.16  4.50  0.295    0.998  13.00  11.66   9.80   8.16   7.64   7.35   7.10   6.92   7.00
 0.110  3094.   -2.10  4.50  0.310    0.995  12.70  11.41   9.61   8.02   7.49   7.21   6.97   6.79   6.87
 0.130  3148.   -2.00  4.49  0.338    0.974  12.28  11.05   9.31   7.78   7.24   6.97   6.74   6.56   6.64
 0.150  3194.   -1.90  4.49  0.365    0.914  11.93  10.74   9.05   7.56   7.02   6.75   6.53   6.37   6.44
 0.170  3228.   -1.83  4.48  0.391    0.774  11.66  10.50   8.84   7.38   6.84   6.57   6.36   6.20   6.27
 0.200  3276.   -1.73  4.48  0.425    0.346  11.31  10.19   8.58   7.15   6.60   6.35   6.14   5.99   6.06
 0.300  3410.   -1.48  4.48  0.521    0.000  10.38   9.37   7.90   6.58   6.00   5.77   5.59   5.46   5.53
 0.400  3507.   -1.31  4.49  0.599    0.000   9.77   8.81   7.45   6.20   5.61   5.38   5.21   5.10   5.17
 0.500  3604.   -1.18  4.49  0.662    0.000   9.24   8.33   7.08   5.90   5.29   5.07   4.92   4.82   4.90
 0.600  3731.   -1.04  4.49  0.725    0.000   8.68   7.83   6.71   5.60   4.96   4.77   4.63   4.56   4.65
 0.700  3916.   -0.88  4.49  0.789    0.000   8.03   7.25   6.30   5.27   4.61   4.45   4.34   4.29   4.40
 0.800  4186.   -0.69  4.47  0.858    0.006   7.32   6.53   5.81   4.87   4.21   4.09   4.02   4.00   4.12
 0.900  4601.   -0.45  4.45  0.938    0.084   6.35   5.69   5.17   4.39   3.83   3.75   3.70   3.69   3.79
 1.000  5147.   -0.15  4.39  1.056    0.307   5.33   4.83   4.42   3.82   3.40   3.34   3.31   3.30   3.37
 1.100  5796.    0.18  4.31  1.220    0.575   4.35   3.97   3.65   3.21   2.91   2.87   2.85   2.85   2.88
 1.200  6102.    0.22  4.39  1.156    0.770   4.21   3.87   3.58   3.21   2.96   2.92   2.91   2.91   2.93
 1.300  6271.    0.35  4.34  1.276    0.880   3.86   3.55   3.28   2.93   2.71   2.67   2.67   2.66   2.67
 1.400  6622.    0.55  4.27  1.432    0.938   3.35   3.08   2.85   2.57   2.39   2.36   2.35   2.35   2.35
