BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.2000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.040  1940.   -3.78  4.93  0.114    1.000  21.58  18.57  16.31  12.24  11.41  10.91  10.22   9.88  10.49
 0.050  2268.   -3.48  5.00  0.118    0.986  20.21  17.29  14.73  11.30  10.71  10.33   9.85   9.54  10.00
 0.060  2488.   -3.28  5.03  0.123    0.466  18.78  16.06  13.56  10.78  10.25   9.92   9.53   9.25   9.64
 0.070  2639.   -3.14  5.06  0.129    0.000  17.62  15.24  12.86  10.46   9.94   9.61   9.27   9.02   9.30
 0.072  2664.   -3.11  5.06  0.131    0.000  17.37  15.09  12.74  10.40   9.88   9.56   9.22   8.98   9.24
 0.075  2698.   -3.08  5.07  0.132    0.000  17.03  14.89  12.59  10.33   9.81   9.49   9.16   8.92   9.16
 0.080  2756.   -3.02  5.08  0.136    0.000  16.51  14.54  12.32  10.20   9.68   9.36   9.04   8.82   9.02
 0.090  2853.   -2.91  5.08  0.143    0.000  15.87  14.02  11.90   9.96   9.44   9.13   8.83   8.62   8.80
 0.100  2926.   -2.83  5.08  0.151    0.000  15.47  13.66  11.60   9.76   9.24   8.94   8.67   8.47   8.63
 0.110  2982.   -2.75  5.08  0.158    0.000  15.06  13.35  11.35   9.60   9.07   8.78   8.52   8.33   8.48
 0.130  3076.   -2.62  5.07  0.173    0.000  14.12  12.74  10.91   9.31   8.77   8.49   8.24   8.06   8.18
 0.150  3144.   -2.51  5.07  0.188    0.000  13.54  12.31  10.58   9.07   8.53   8.26   8.01   7.85   7.94
 0.170  3198.   -2.41  5.05  0.203    0.000  13.13  11.96  10.31   8.85   8.31   8.04   7.80   7.65   7.73
 0.200  3264.   -2.28  5.03  0.226    0.000  12.64  11.53   9.95   8.55   8.01   7.75   7.53   7.38   7.46
 0.300  3414.   -1.98  4.98  0.294    0.000  11.53  10.53   9.12   7.84   7.28   7.04   6.84   6.71   6.78
 0.400  3537.   -1.73  4.92  0.365    0.000  10.68   9.74   8.45   7.25   6.69   6.46   6.28   6.17   6.24
 0.500  3701.   -1.46  4.82  0.453    0.000   9.72   8.86   7.74   6.64   6.04   5.84   5.68   5.60   5.68
 0.600  3981.   -1.17  4.74  0.547    0.000   8.64   7.87   7.00   6.01   5.38   5.22   5.11   5.06   5.16
 0.700  4390.   -0.88  4.68  0.630    0.000   7.58   6.85   6.25   5.39   4.79   4.69   4.63   4.61   4.72
 0.800  4824.   -0.61  4.64  0.711    0.004   6.61   6.02   5.56   4.85   4.36   4.29   4.24   4.23   4.32
 0.900  5207.   -0.37  4.58  0.804    0.082   5.85   5.37   4.96   4.38   3.98   3.92   3.88   3.88   3.94
 1.000  5567.   -0.15  4.52  0.907    0.307   5.21   4.79   4.44   3.95   3.61   3.57   3.54   3.54   3.59
 1.100  5895.    0.06  4.46  1.024    0.574   4.64   4.28   3.96   3.55   3.27   3.23   3.21   3.21   3.24
 1.200  6177.    0.24  4.39  1.158    0.770   4.14   3.82   3.54   3.18   2.94   2.90   2.89   2.89   2.90
 1.300  6456.    0.42  4.33  1.291    0.880   3.69   3.41   3.15   2.84   2.64   2.61   2.61   2.60   2.61
 1.400  6766.    0.57  4.29  1.405    0.938   3.29   3.04   2.83   2.56   2.40   2.37   2.37   2.37   2.37
