BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.8000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.060  1716.   -4.15  5.25  0.096    0.000  22.56  19.14  16.94  13.60  12.51  11.68  10.79  10.46  11.13
 0.070  2136.   -3.75  5.31  0.097    0.000  21.49  18.16  15.63  11.97  11.37  11.08  10.45  10.10  10.83
 0.072  2212.   -3.69  5.31  0.098    0.000  21.24  17.94  15.40  11.90  11.29  10.96  10.36  10.03  10.69
 0.075  2294.   -3.61  5.32  0.100    0.000  20.54  17.35  14.77  11.50  11.01  10.72  10.21   9.89  10.54
 0.080  2436.   -3.47  5.31  0.104    0.000  19.52  16.68  14.14  11.23  10.69  10.39   9.96   9.67  10.21
 0.090  2656.   -3.24  5.28  0.114    0.000  17.87  15.43  13.07  10.70  10.18   9.87   9.53   9.28   9.59
 0.100  2812.   -3.06  5.25  0.125    0.000  16.47  14.51  12.32  10.31   9.78   9.48   9.17   8.95   9.16
 0.110  2915.   -2.92  5.22  0.135    0.000  15.80  13.94  11.86  10.01   9.48   9.19   8.90   8.70   8.88
 0.130  3045.   -2.73  5.17  0.156    0.000  14.63  13.12  11.22   9.56   9.03   8.75   8.50   8.32   8.45
 0.150  3130.   -2.58  5.13  0.174    0.000  13.76  12.52  10.78   9.24   8.71   8.43   8.19   8.02   8.12
 0.170  3191.   -2.46  5.10  0.192    0.000  13.28  12.10  10.44   8.98   8.44   8.17   7.93   7.77   7.86
 0.200  3260.   -2.32  5.07  0.217    0.000  12.74  11.62  10.04   8.64   8.10   7.84   7.62   7.46   7.55
 0.300  3415.   -1.99  4.99  0.290    0.000  11.56  10.55   9.14   7.87   7.31   7.07   6.87   6.74   6.81
 0.400  3521.   -1.72  4.90  0.371    0.000  10.70   9.75   8.45   7.24   6.67   6.44   6.26   6.14   6.21
 0.500  3680.   -1.46  4.81  0.459    0.000   9.75   8.88   7.74   6.63   6.03   5.82   5.67   5.58   5.66
 0.600  3968.   -1.17  4.73  0.553    0.000   8.65   7.88   6.99   6.00   5.36   5.20   5.09   5.04   5.14
 0.700  4386.   -0.87  4.68  0.636    0.000   7.57   6.84   6.23   5.38   4.77   4.67   4.61   4.59   4.70
 0.800  4823.   -0.60  4.63  0.718    0.003   6.59   6.00   5.54   4.83   4.34   4.26   4.22   4.21   4.30
 0.900  5216.   -0.36  4.57  0.813    0.079   5.81   5.33   4.93   4.35   3.95   3.89   3.86   3.85   3.91
 1.000  5586.   -0.13  4.51  0.920    0.306   5.16   4.75   4.40   3.91   3.58   3.53   3.51   3.51   3.55
 1.100  5910.    0.08  4.44  1.046    0.574   4.58   4.22   3.91   3.49   3.22   3.18   3.17   3.16   3.19
 1.200  6184.    0.27  4.36  1.193    0.770   4.07   3.75   3.47   3.11   2.87   2.84   2.83   2.82   2.84
 1.300  6442.    0.45  4.29  1.345    0.880   3.62   3.33   3.07   2.76   2.56   2.53   2.52   2.52   2.52
 1.400  6705.    0.61  4.24  1.491    0.938   3.20   2.95   2.73   2.45   2.28   2.26   2.25   2.25   2.25
