BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.0010
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.010  2345.   -2.70  3.57  0.271    1.000  17.66  15.02  12.47   9.33   8.83   8.36   7.96   7.66   7.86
 0.015  2504.   -2.42  3.59  0.326    1.000  16.12  13.80  11.37   8.66   8.19   7.76   7.39   7.12   7.26
 0.020  2598.   -2.25  3.60  0.372    1.000  15.21  13.07  10.72   8.23   7.76   7.36   7.01   6.76   6.88
 0.030  2710.   -1.98  3.58  0.467    1.000  14.02  12.08   9.84   7.57   7.10   6.73   6.41   6.18   6.27
 0.040  2779.   -1.81  3.58  0.536    1.000  13.33  11.51   9.32   7.18   6.70   6.35   6.05   5.82   5.91
 0.050  2824.   -1.65  3.54  0.628    1.000  12.80  11.03   8.87   6.78   6.29   5.96   5.68   5.45   5.54
 0.060  2864.   -1.53  3.52  0.702    1.000  12.42  10.69   8.54   6.48   5.99   5.67   5.41   5.18   5.27
 0.070  2897.   -1.41  3.50  0.781    1.000  12.10  10.38   8.25   6.21   5.71   5.41   5.16   4.93   5.02
 0.072  2896.   -1.39  3.49  0.803    1.000  12.05  10.33   8.19   6.15   5.65   5.35   5.10   4.88   4.97
 0.075  2897.   -1.36  3.48  0.829    1.000  11.98  10.26   8.12   6.08   5.58   5.28   5.03   4.80   4.90
 0.080  2898.   -1.31  3.45  0.877    1.000  11.87  10.15   8.01   5.95   5.45   5.15   4.91   4.68   4.78
 0.090  2908.   -1.23  3.43  0.959    1.000  11.66   9.93   7.80   5.75   5.24   4.94   4.71   4.48   4.58
 0.100  2936.   -1.17  3.44  1.002    1.000  11.43   9.75   7.63   5.62   5.10   4.81   4.59   4.36   4.46
 0.110  2955.   -1.10  3.41  1.079    1.000  11.21   9.54   7.43   5.43   4.90   4.63   4.42   4.19   4.29
 0.130  3012.   -0.96  3.38  1.214    1.000  10.70   9.11   7.04   5.11   4.55   4.29   4.11   3.88   3.99
 0.150  3078.   -0.85  3.37  1.327    1.000  10.18   8.69   6.69   4.85   4.26   4.02   3.86   3.64   3.75
 0.170  3142.   -0.73  3.34  1.465    1.000   9.70   8.29   6.34   4.58   3.94   3.72   3.58   3.38   3.49
 0.200  3226.   -0.66  3.38  1.503    1.000   9.30   7.98   6.12   4.44   3.78   3.57   3.45   3.26   3.38
 0.300  3428.   -0.48  3.49  1.636    1.000   8.31   7.20   5.55   4.08   3.35   3.16   3.07   2.93   3.06
 0.400  3634.   -0.32  3.55  1.753    1.000   7.26   6.36   5.04   3.77   2.99   2.83   2.74   2.66   2.79
 0.500  3802.   -0.18  3.59  1.870    1.000   6.55   5.75   4.65   3.50   2.72   2.57   2.49   2.45   2.59
 0.600  3955.   -0.07  3.63  1.971    1.000   5.98   5.24   4.33   3.26   2.51   2.38   2.31   2.28   2.42
 0.700  4078.    0.04  3.64  2.096    1.000   5.59   4.81   4.03   3.03   2.31   2.19   2.12   2.10   2.24
 0.800  4192.    0.13  3.66  2.200    1.000   5.23   4.46   3.79   2.84   2.16   2.04   1.97   1.96   2.09
 0.900  4290.    0.21  3.66  2.310    1.000   4.92   4.18   3.57   2.66   2.01   1.90   1.84   1.83   1.95
 1.000  4377.    0.28  3.67  2.416    1.000   4.66   3.95   3.37   2.49   1.88   1.78   1.71   1.70   1.82
 1.100  4456.    0.35  3.68  2.520    1.000   4.42   3.75   3.19   2.35   1.76   1.66   1.60   1.59   1.70
 1.200  4529.    0.41  3.68  2.612    0.999   4.22   3.57   3.04   2.22   1.65   1.56   1.50   1.49   1.60
 1.300  4596.    0.47  3.69  2.710    0.998   4.03   3.40   2.89   2.10   1.55   1.46   1.40   1.40   1.50
 1.400  4658.    0.52  3.69  2.797    0.998   3.87   3.26   2.76   1.99   1.46   1.38   1.32   1.31   1.41
