BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.3000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.040  1667.   -4.09  4.97  0.108    1.000  22.41  19.16  17.05  13.69  12.47  11.50  10.51  10.16  10.84
 0.050  2063.   -3.72  5.07  0.109    0.970  21.32  18.21  15.81  11.97  11.27  10.87  10.24   9.90  10.53
 0.060  2331.   -3.48  5.12  0.112    0.084  19.95  16.98  14.42  11.23  10.70  10.37   9.91   9.60  10.11
 0.070  2519.   -3.31  5.15  0.117    0.000  18.68  16.03  13.55  10.85  10.32   9.99   9.61   9.34   9.74
 0.072  2552.   -3.28  5.15  0.118    0.000  18.48  15.87  13.40  10.78  10.25   9.93   9.56   9.29   9.66
 0.075  2594.   -3.24  5.16  0.119    0.000  18.22  15.65  13.21  10.69  10.17   9.84   9.49   9.23   9.56
 0.080  2660.   -3.17  5.16  0.122    0.000  17.61  15.25  12.90  10.54  10.02   9.71   9.36   9.12   9.40
 0.090  2782.   -3.04  5.17  0.129    0.000  16.50  14.53  12.33  10.27   9.74   9.43   9.11   8.90   9.11
 0.100  2874.   -2.94  5.17  0.137    0.000  15.95  14.07  11.95  10.04   9.51   9.21   8.92   8.72   8.90
 0.110  2946.   -2.85  5.16  0.144    0.000  15.48  13.68  11.64   9.83   9.31   9.02   8.74   8.55   8.71
 0.130  3055.   -2.69  5.14  0.161    0.000  14.46  12.99  11.12   9.48   8.95   8.67   8.41   8.23   8.36
 0.150  3134.   -2.56  5.11  0.178    0.000  13.70  12.46  10.72   9.19   8.66   8.38   8.14   7.97   8.07
 0.170  3192.   -2.45  5.09  0.194    0.000  13.25  12.07  10.41   8.95   8.41   8.14   7.90   7.74   7.83
 0.200  3261.   -2.32  5.06  0.218    0.000  12.72  11.60  10.03   8.62   8.08   7.82   7.60   7.45   7.53
 0.300  3415.   -1.99  4.99  0.290    0.000  11.56  10.55   9.15   7.87   7.31   7.07   6.87   6.74   6.81
 0.400  3528.   -1.73  4.92  0.364    0.000  10.71   9.77   8.47   7.27   6.70   6.47   6.29   6.18   6.25
 0.500  3689.   -1.46  4.82  0.455    0.000   9.74   8.88   7.75   6.64   6.04   5.83   5.68   5.59   5.68
 0.600  3971.   -1.17  4.74  0.550    0.000   8.66   7.88   7.00   6.01   5.38   5.21   5.10   5.06   5.16
 0.700  4388.   -0.88  4.68  0.632    0.000   7.58   6.84   6.24   5.39   4.78   4.68   4.62   4.61   4.72
 0.800  4822.   -0.61  4.63  0.713    0.004   6.61   6.02   5.55   4.85   4.36   4.28   4.24   4.23   4.31
 0.900  5209.   -0.37  4.58  0.806    0.081   5.84   5.36   4.96   4.37   3.97   3.91   3.88   3.87   3.93
 1.000  5572.   -0.14  4.52  0.909    0.307   5.20   4.78   4.43   3.94   3.61   3.56   3.54   3.53   3.58
 1.100  5898.    0.06  4.46  1.027    0.574   4.63   4.27   3.96   3.54   3.26   3.22   3.21   3.20   3.23
 1.200  6179.    0.25  4.39  1.164    0.770   4.13   3.81   3.53   3.16   2.93   2.89   2.88   2.88   2.89
 1.300  6456.    0.42  4.32  1.300    0.880   3.68   3.39   3.14   2.83   2.63   2.60   2.59   2.59   2.59
 1.400  6761.    0.58  4.28  1.417    0.938   3.28   3.02   2.81   2.55   2.38   2.36   2.35   2.35   2.35
