BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   3.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.070  1650.   -4.27  5.38  0.090    0.000  23.38  19.67  17.38  14.00  12.88  12.04  11.15  10.74  11.45
 0.072  1793.   -4.11  5.38  0.091    0.000  22.45  18.97  16.67  13.21  12.33  11.69  10.88  10.54  11.22
 0.075  2052.   -3.87  5.39  0.092    0.000  21.85  18.43  15.96  12.26  11.63  11.32  10.64  10.28  11.04
 0.080  2343.   -3.58  5.35  0.099    0.000  20.27  17.16  14.58  11.44  10.93  10.65  10.17   9.86  10.50
 0.090  2644.   -3.25  5.29  0.113    0.000  18.00  15.52  13.14  10.74  10.22   9.91   9.56   9.31   9.63
 0.100  2810.   -3.06  5.25  0.124    0.000  16.48  14.52  12.33  10.32   9.79   9.48   9.17   8.96   9.17
 0.110  2915.   -2.92  5.22  0.135    0.000  15.80  13.94  11.86  10.01   9.48   9.19   8.91   8.71   8.88
 0.130  3046.   -2.73  5.17  0.156    0.000  14.63  13.12  11.22   9.56   9.03   8.75   8.50   8.31   8.45
 0.150  3131.   -2.58  5.13  0.174    0.000  13.76  12.52  10.77   9.24   8.71   8.43   8.18   8.02   8.12
 0.170  3191.   -2.46  5.10  0.192    0.000  13.28  12.10  10.44   8.97   8.44   8.17   7.93   7.77   7.86
 0.200  3261.   -2.32  5.07  0.217    0.000  12.73  11.61  10.04   8.64   8.09   7.83   7.61   7.46   7.54
 0.300  3416.   -1.97  4.97  0.295    0.000  11.52  10.52   9.11   7.83   7.28   7.03   6.83   6.70   6.77
 0.400  3520.   -1.71  4.89  0.375    0.000  10.67   9.73   8.42   7.21   6.64   6.41   6.23   6.12   6.19
 0.500  3679.   -1.45  4.80  0.464    0.000   9.73   8.86   7.72   6.60   6.01   5.80   5.64   5.56   5.64
 0.600  3974.   -1.15  4.72  0.559    0.000   8.62   7.84   6.96   5.97   5.34   5.17   5.06   5.02   5.12
 0.700  4407.   -0.85  4.67  0.643    0.000   7.51   6.78   6.19   5.34   4.73   4.63   4.57   4.56   4.67
 0.800  4859.   -0.57  4.61  0.731    0.001   6.50   5.93   5.47   4.77   4.29   4.22   4.17   4.17   4.25
 0.900  5270.   -0.31  4.55  0.838    0.070   5.69   5.22   4.83   4.25   3.87   3.81   3.78   3.78   3.83
 1.000  5661.   -0.06  4.47  0.966    0.306   4.98   4.58   4.24   3.77   3.45   3.41   3.39   3.38   3.42
 1.100  5974.    0.17  4.36  1.143    0.574   4.34   3.99   3.68   3.28   3.01   2.97   2.96   2.96   2.98
 1.200  6191.    0.39  4.25  1.366    0.770   3.77   3.45   3.17   2.81   2.58   2.54   2.53   2.53   2.54
 1.300  6177.    0.56  4.11  1.671    0.880   3.34   3.02   2.74   2.38   2.14   2.11   2.10   2.10   2.11
