BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   8.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.070  1626.   -4.30  5.38  0.090    0.000  23.43  19.72  17.44  14.10  12.96  12.09  11.18  10.81  11.43
 0.072  1789.   -4.12  5.38  0.091    0.000  22.46  18.98  16.68  13.24  12.35  11.70  10.88  10.54  11.23
 0.075  2036.   -3.89  5.39  0.091    0.000  21.90  18.47  16.02  12.33  11.69  11.35  10.66  10.30  11.06
 0.080  2344.   -3.58  5.35  0.099    0.000  20.26  17.15  14.58  11.43  10.93  10.65  10.17   9.86  10.49
 0.090  2645.   -3.25  5.29  0.113    0.000  17.99  15.51  13.13  10.74  10.22   9.91   9.56   9.31   9.63
 0.100  2812.   -3.06  5.25  0.124    0.000  16.47  14.51  12.33  10.32   9.79   9.48   9.17   8.96   9.17
 0.110  2917.   -2.92  5.22  0.135    0.000  15.79  13.94  11.85  10.01   9.48   9.19   8.90   8.70   8.88
 0.130  3047.   -2.73  5.17  0.156    0.000  14.61  13.11  11.21   9.56   9.03   8.75   8.49   8.31   8.45
 0.150  3132.   -2.58  5.13  0.175    0.000  13.75  12.51  10.77   9.24   8.70   8.43   8.18   8.01   8.12
 0.170  3193.   -2.46  5.10  0.193    0.000  13.26  12.09  10.43   8.97   8.43   8.16   7.92   7.76   7.85
 0.200  3264.   -2.31  5.06  0.219    0.000  12.70  11.59  10.01   8.62   8.07   7.81   7.59   7.44   7.52
 0.300  3416.   -1.95  4.95  0.303    0.000  11.47  10.46   9.05   7.77   7.22   6.98   6.78   6.65   6.72
 0.400  3522.   -1.70  4.88  0.379    0.000  10.65   9.70   8.40   7.18   6.62   6.39   6.21   6.09   6.16
 0.500  3686.   -1.44  4.79  0.469    0.000   9.69   8.82   7.69   6.57   5.98   5.77   5.62   5.53   5.61
 0.600  4001.   -1.13  4.71  0.566    0.000   8.53   7.76   6.90   5.92   5.28   5.13   5.02   4.98   5.08
 0.700  4467.   -0.81  4.65  0.656    0.000   7.35   6.65   6.08   5.25   4.66   4.57   4.51   4.50   4.61
 0.800  4958.   -0.50  4.58  0.761    0.000   6.28   5.73   5.29   4.63   4.17   4.10   4.06   4.06   4.13
 0.900  5420.   -0.19  4.47  0.914    0.063   5.34   4.90   4.53   4.00   3.64   3.59   3.56   3.56   3.61
 1.000  5772.    0.15  4.29  1.186    0.306   4.43   4.05   3.72   3.28   2.98   2.94   2.92   2.92   2.95
