BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.0020
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.010  2236.   -2.96  3.75  0.220    1.000  18.81  16.02  13.45  10.00   9.47   8.98   8.54   8.22   8.49
 0.015  2452.   -2.65  3.78  0.262    1.000  16.97  14.54  12.07   9.22   8.74   8.30   7.93   7.65   7.83
 0.020  2571.   -2.46  3.79  0.298    1.000  15.88  13.68  11.30   8.76   8.28   7.87   7.52   7.26   7.40
 0.030  2707.   -2.14  3.74  0.387    1.000  14.44  12.50  10.25   7.99   7.52   7.14   6.83   6.59   6.69
 0.040  2784.   -1.90  3.68  0.481    1.000  13.53  11.72   9.54   7.41   6.93   6.58   6.28   6.06   6.15
 0.050  2829.   -1.72  3.62  0.574    1.000  12.95  11.19   9.04   6.96   6.48   6.14   5.87   5.64   5.73
 0.060  2867.   -1.58  3.57  0.661    1.000  12.52  10.79   8.66   6.61   6.12   5.80   5.54   5.31   5.40
 0.070  2902.   -1.45  3.54  0.743    1.000  12.16  10.46   8.34   6.31   5.81   5.51   5.26   5.04   5.13
 0.072  2907.   -1.43  3.53  0.761    1.000  12.10  10.40   8.27   6.26   5.76   5.45   5.21   4.98   5.07
 0.075  2914.   -1.40  3.52  0.785    1.000  12.00  10.31   8.19   6.18   5.67   5.37   5.14   4.91   5.00
 0.080  2924.   -1.35  3.51  0.827    1.000  11.85  10.17   8.05   6.05   5.54   5.25   5.01   4.79   4.88
 0.090  2934.   -1.26  3.48  0.904    1.000  11.64   9.96   7.85   5.85   5.33   5.04   4.82   4.59   4.68
 0.100  2972.   -1.26  3.54  0.890    1.000  11.47   9.85   7.77   5.83   5.31   5.03   4.82   4.59   4.69
 0.110  2996.   -1.21  3.55  0.922    1.000  11.28   9.69   7.63   5.73   5.19   4.92   4.72   4.49   4.59
 0.130  3034.   -1.15  3.59  0.959    1.000  10.98   9.46   7.44   5.60   5.06   4.79   4.60   4.38   4.48
 0.150  3076.   -1.10  3.62  0.990    1.000  10.68   9.23   7.26   5.49   4.94   4.68   4.49   4.28   4.38
 0.170  3126.   -1.02  3.62  1.060    1.000  10.31   8.93   7.01   5.30   4.72   4.47   4.30   4.10   4.19
 0.200  3202.   -0.96  3.67  1.077    1.000   9.95   8.66   6.81   5.19   4.58   4.35   4.19   4.01   4.11
 0.300  3428.   -0.72  3.73  1.238    1.000   8.78   7.71   6.11   4.68   4.00   3.80   3.68   3.55   3.66
 0.400  3606.   -0.55  3.77  1.363    1.000   7.87   6.94   5.60   4.33   3.60   3.42   3.32   3.23   3.35
 0.500  3763.   -0.41  3.80  1.476    1.000   7.18   6.35   5.20   4.03   3.29   3.13   3.04   2.98   3.11
 0.600  3906.   -0.29  3.83  1.562    1.000   6.62   5.85   4.89   3.80   3.06   2.92   2.84   2.80   2.93
 0.700  4033.   -0.18  3.84  1.659    0.999   6.18   5.43   4.59   3.57   2.85   2.72   2.65   2.62   2.76
 0.800  4153.   -0.09  3.86  1.748    0.996   5.83   5.05   4.33   3.36   2.67   2.55   2.49   2.47   2.60
 0.900  4259.   -0.00  3.87  1.833    0.986   5.50   4.75   4.10   3.18   2.52   2.41   2.35   2.34   2.46
 1.000  4350.    0.07  3.87  1.917    0.973   5.22   4.50   3.90   3.01   2.39   2.29   2.22   2.21   2.33
 1.100  4432.    0.14  3.88  1.995    0.969   4.98   4.29   3.72   2.87   2.27   2.17   2.11   2.10   2.22
 1.200  4508.    0.20  3.88  2.072    0.972   4.76   4.10   3.56   2.73   2.16   2.07   2.01   2.00   2.11
 1.300  4581.    0.26  3.89  2.148    0.977   4.56   3.92   3.40   2.61   2.05   1.97   1.91   1.90   2.00
 1.400  4653.    0.32  3.89  2.220    0.983   4.38   3.76   3.26   2.49   1.96   1.87   1.82   1.81   1.91
