BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.1000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.030  1912.   -3.74  4.73  0.124    1.000  21.38  18.49  16.23  12.09  11.27  10.74  10.06   9.72  10.25
 0.040  2311.   -3.36  4.81  0.130    1.000  19.59  16.71  14.16  10.93  10.41  10.04   9.60   9.28   9.71
 0.050  2525.   -3.15  4.85  0.139    0.999  18.21  15.60  13.14  10.47   9.95   9.60   9.23   8.96   9.28
 0.060  2670.   -3.00  4.88  0.148    0.953  16.93  14.75  12.43  10.12   9.61   9.27   8.94   8.70   8.93
 0.070  2794.   -2.87  4.89  0.158    0.587  15.84  14.00  11.85   9.83   9.31   8.98   8.67   8.46   8.62
 0.072  2813.   -2.84  4.89  0.160    0.447  15.72  13.89  11.76   9.78   9.26   8.94   8.63   8.42   8.58
 0.075  2839.   -2.81  4.89  0.162    0.233  15.59  13.77  11.66   9.71   9.19   8.87   8.57   8.36   8.52
 0.080  2879.   -2.76  4.89  0.167    0.028  15.38  13.58  11.50   9.60   9.08   8.77   8.48   8.27   8.42
 0.090  2942.   -2.68  4.90  0.176    0.000  14.96  13.25  11.22   9.41   8.89   8.59   8.31   8.11   8.25
 0.100  2993.   -2.61  4.90  0.185    0.000  14.59  12.96  10.98   9.24   8.72   8.43   8.17   7.98   8.11
 0.110  3038.   -2.54  4.91  0.194    0.000  14.16  12.67  10.76   9.10   8.57   8.29   8.03   7.85   7.97
 0.130  3112.   -2.43  4.90  0.211    0.000  13.44  12.18  10.41   8.85   8.32   8.04   7.79   7.62   7.71
 0.150  3167.   -2.33  4.90  0.227    0.000  13.04  11.83  10.13   8.63   8.09   7.82   7.58   7.42   7.51
 0.170  3214.   -2.25  4.90  0.243    0.000  12.70  11.54   9.89   8.44   7.90   7.63   7.40   7.25   7.33
 0.200  3272.   -2.14  4.89  0.265    0.000  12.28  11.17   9.59   8.19   7.65   7.39   7.17   7.02   7.10
 0.300  3409.   -1.87  4.87  0.333    0.000  11.30  10.29   8.86   7.57   7.01   6.77   6.57   6.44   6.51
 0.400  3529.   -1.65  4.84  0.399    0.000  10.52   9.58   8.28   7.07   6.49   6.27   6.09   5.97   6.05
 0.500  3705.   -1.41  4.77  0.480    0.000   9.59   8.73   7.62   6.51   5.91   5.70   5.55   5.47   5.55
 0.600  4100.   -1.09  4.71  0.564    0.000   8.40   7.58   6.80   5.84   5.21   5.07   4.98   4.95   5.05
 0.700  4402.   -0.88  4.69  0.624    0.000   7.58   6.85   6.26   5.40   4.80   4.70   4.64   4.63   4.74
 0.800  4826.   -0.61  4.64  0.707    0.005   6.62   6.04   5.57   4.86   4.37   4.30   4.26   4.25   4.33
 0.900  5209.   -0.37  4.58  0.801    0.082   5.86   5.37   4.97   4.38   3.98   3.92   3.89   3.89   3.95
 1.000  5541.   -0.16  4.53  0.903    0.307   5.24   4.83   4.47   3.97   3.63   3.58   3.56   3.56   3.60
 1.100  5886.    0.05  4.46  1.020    0.574   4.66   4.29   3.98   3.56   3.28   3.24   3.22   3.22   3.25
 1.200  6170.    0.24  4.39  1.153    0.770   4.16   3.83   3.55   3.19   2.95   2.91   2.90   2.90   2.91
 1.300  6453.    0.41  4.33  1.284    0.880   3.71   3.42   3.17   2.86   2.66   2.63   2.62   2.62   2.62
 1.400  6766.    0.56  4.30  1.393    0.938   3.31   3.06   2.85   2.58   2.42   2.39   2.39   2.39   2.39
