BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.0050
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.010  1961.   -3.39  3.95  0.176    1.000  20.77  17.89  15.46  11.23  10.50   9.88   9.29   8.95   9.25
 0.015  2330.   -2.96  3.99  0.204    1.000  18.38  15.70  13.15   9.97   9.46   9.00   8.60   8.29   8.56
 0.020  2531.   -2.62  3.93  0.254    1.000  16.51  14.23  11.81   9.17   8.68   8.27   7.91   7.65   7.82
 0.030  2705.   -2.20  3.80  0.362    1.000  14.59  12.65  10.40   8.14   7.66   7.29   6.97   6.74   6.84
 0.040  2785.   -1.98  3.75  0.440    1.000  13.70  11.89   9.72   7.60   7.12   6.77   6.47   6.25   6.34
 0.050  2841.   -1.85  3.76  0.489    1.000  13.22  11.48   9.35   7.30   6.81   6.48   6.20   5.98   6.07
 0.060  2890.   -1.81  3.82  0.496    1.000  12.96  11.29   9.19   7.21   6.72   6.40   6.14   5.92   6.01
 0.070  2928.   -1.76  3.87  0.511    1.000  12.71  11.09   9.02   7.10   6.60   6.29   6.04   5.83   5.92
 0.072  2934.   -1.75  3.87  0.518    1.000  12.65  11.04   8.98   7.06   6.56   6.26   6.00   5.79   5.88
 0.075  2944.   -1.73  3.87  0.525    1.000  12.57  10.98   8.92   7.02   6.52   6.22   5.97   5.75   5.85
 0.080  2959.   -1.69  3.87  0.541    1.000  12.43  10.86   8.82   6.94   6.43   6.13   5.89   5.68   5.77
 0.090  2992.   -1.64  3.89  0.566    1.000  12.19  10.66   8.64   6.80   6.28   6.00   5.76   5.55   5.65
 0.100  3027.   -1.63  3.95  0.554    1.000  12.02  10.55   8.58   6.81   6.29   6.00   5.78   5.57   5.66
 0.110  3052.   -1.58  3.95  0.580    1.000  11.79  10.36   8.42   6.69   6.16   5.88   5.66   5.46   5.54
 0.130  3098.   -1.49  3.96  0.627    1.000  11.37  10.02   8.14   6.48   5.94   5.66   5.45   5.26   5.34
 0.150  3136.   -1.41  3.96  0.669    1.000  11.08   9.77   7.92   6.30   5.75   5.48   5.28   5.09   5.18
 0.170  3169.   -1.34  3.96  0.713    1.000  10.81   9.54   7.72   6.12   5.56   5.31   5.11   4.93   5.02
 0.200  3220.   -1.26  3.98  0.758    1.000  10.47   9.25   7.48   5.94   5.37   5.12   4.94   4.76   4.85
 0.300  3379.   -1.02  4.01  0.899    1.000   9.49   8.41   6.82   5.42   4.81   4.58   4.42   4.28   4.37
 0.400  3546.   -0.84  4.03  1.006    0.998   8.66   7.71   6.31   5.03   4.37   4.17   4.04   3.93   4.03
 0.500  3696.   -0.70  4.06  1.095    0.975   8.00   7.13   5.91   4.73   4.03   3.85   3.74   3.67   3.78
 0.600  3830.   -0.57  4.08  1.173    0.834   7.45   6.65   5.59   4.47   3.76   3.61   3.51   3.46   3.58
 0.700  3960.   -0.47  4.09  1.243    0.547   6.97   6.21   5.30   4.25   3.54   3.40   3.32   3.28   3.41
 0.800  4081.   -0.37  4.11  1.306    0.517   6.62   5.83   5.04   4.04   3.35   3.22   3.15   3.12   3.25
 0.900  4198.   -0.28  4.12  1.366    0.567   6.27   5.50   4.80   3.86   3.19   3.07   3.01   2.99   3.12
 1.000  4310.   -0.20  4.13  1.429    0.658   5.94   5.20   4.58   3.68   3.04   2.93   2.87   2.86   2.98
 1.100  4422.   -0.12  4.13  1.494    0.755   5.63   4.93   4.36   3.50   2.90   2.80   2.74   2.73   2.84
 1.200  4531.   -0.03  4.13  1.569    0.842   5.33   4.67   4.13   3.32   2.75   2.66   2.60   2.60   2.70
 1.300  4644.    0.05  4.12  1.643    0.904   5.05   4.42   3.92   3.15   2.61   2.53   2.47   2.47   2.56
 1.400  4771.    0.14  4.11  1.719    0.944   4.76   4.17   3.70   2.97   2.47   2.39   2.34   2.33   2.42
