BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.4000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.050  1836.   -3.96  5.10  0.104    0.957  21.97  18.79  16.57  12.81  11.86  11.25  10.48  10.13  10.83
 0.060  2207.   -3.62  5.17  0.106    0.011  21.02  17.84  15.28  11.71  11.09  10.73  10.17   9.84  10.41
 0.070  2419.   -3.43  5.20  0.110    0.000  19.52  16.64  14.10  11.14  10.60  10.29   9.86   9.57  10.08
 0.072  2457.   -3.40  5.21  0.111    0.000  19.21  16.44  13.92  11.06  10.52  10.21   9.80   9.51   9.99
 0.075  2508.   -3.35  5.21  0.112    0.000  18.81  16.17  13.68  10.96  10.42  10.11   9.72   9.44   9.87
 0.080  2594.   -3.27  5.22  0.115    0.000  18.32  15.74  13.29  10.77  10.24   9.92   9.56   9.30   9.65
 0.090  2726.   -3.13  5.22  0.122    0.000  17.11  14.92  12.65  10.46   9.94   9.63   9.30   9.07   9.32
 0.100  2844.   -3.00  5.21  0.130    0.000  16.20  14.28  12.13  10.18   9.65   9.34   9.04   8.84   9.03
 0.110  2929.   -2.89  5.19  0.139    0.000  15.66  13.83  11.76   9.93   9.41   9.11   8.84   8.64   8.81
 0.130  3048.   -2.72  5.16  0.157    0.000  14.58  13.08  11.19   9.54   9.01   8.73   8.47   8.29   8.43
 0.150  3131.   -2.58  5.13  0.175    0.000  13.75  12.51  10.76   9.23   8.70   8.42   8.18   8.01   8.11
 0.170  3191.   -2.46  5.10  0.192    0.000  13.28  12.10  10.44   8.97   8.43   8.16   7.93   7.77   7.86
 0.200  3260.   -2.32  5.07  0.217    0.000  12.73  11.62  10.04   8.64   8.10   7.84   7.61   7.46   7.54
 0.300  3415.   -1.99  4.99  0.290    0.000  11.56  10.56   9.15   7.87   7.32   7.07   6.87   6.74   6.81
 0.400  3526.   -1.73  4.91  0.366    0.000  10.71   9.76   8.47   7.26   6.69   6.46   6.28   6.17   6.24
 0.500  3685.   -1.46  4.82  0.457    0.000   9.75   8.88   7.75   6.63   6.04   5.83   5.68   5.59   5.67
 0.600  3969.   -1.17  4.73  0.551    0.000   8.66   7.88   7.00   6.00   5.37   5.21   5.10   5.05   5.15
 0.700  4387.   -0.87  4.68  0.633    0.000   7.58   6.84   6.24   5.38   4.78   4.68   4.62   4.60   4.71
 0.800  4821.   -0.61  4.63  0.714    0.004   6.61   6.02   5.55   4.84   4.35   4.28   4.23   4.23   4.31
 0.900  5210.   -0.36  4.58  0.808    0.081   5.84   5.35   4.95   4.36   3.96   3.91   3.87   3.87   3.93
 1.000  5574.   -0.14  4.52  0.911    0.307   5.19   4.78   4.43   3.93   3.60   3.55   3.53   3.53   3.57
 1.100  5901.    0.06  4.45  1.032    0.574   4.62   4.26   3.94   3.53   3.25   3.21   3.20   3.19   3.22
 1.200  6181.    0.25  4.38  1.171    0.770   4.12   3.79   3.51   3.15   2.91   2.88   2.87   2.87   2.88
 1.300  6453.    0.43  4.32  1.308    0.880   3.67   3.38   3.13   2.82   2.62   2.59   2.58   2.58   2.58
 1.400  6750.    0.58  4.27  1.430    0.938   3.26   3.01   2.79   2.53   2.36   2.34   2.34   2.33   2.33
