BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.0080
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.010  1714.   -3.70  4.02  0.161    1.000  21.36  18.68  16.58  12.57  11.34  10.46   9.65   9.32   9.61
 0.015  2280.   -3.05  4.05  0.192    1.000  18.84  16.08  13.53  10.19   9.68   9.21   8.79   8.47   8.79
 0.020  2525.   -2.65  3.95  0.248    1.000  16.61  14.31  11.88   9.22   8.74   8.32   7.97   7.70   7.88
 0.030  2699.   -2.29  3.88  0.329    1.000  14.83  12.88  10.62   8.36   7.88   7.51   7.18   6.95   7.06
 0.040  2784.   -2.22  4.00  0.333    1.000  14.27  12.48  10.31   8.22   7.73   7.38   7.07   6.85   6.95
 0.050  2849.   -2.13  4.04  0.353    1.000  13.81  12.11  10.00   8.00   7.51   7.18   6.89   6.68   6.77
 0.060  2903.   -2.05  4.07  0.375    1.000  13.41  11.79   9.73   7.81   7.32   7.00   6.73   6.51   6.61
 0.070  2948.   -1.97  4.09  0.396    1.000  13.09  11.53   9.50   7.64   7.14   6.83   6.57   6.36   6.45
 0.072  2956.   -1.96  4.09  0.401    1.000  13.02  11.47   9.44   7.60   7.09   6.79   6.53   6.33   6.42
 0.075  2968.   -1.93  4.09  0.411    1.000  12.91  11.38   9.36   7.53   7.03   6.72   6.47   6.27   6.36
 0.080  2986.   -1.89  4.09  0.424    1.000  12.76  11.25   9.25   7.44   6.93   6.64   6.39   6.19   6.28
 0.090  3017.   -1.83  4.09  0.445    1.000  12.49  11.03   9.06   7.30   6.78   6.49   6.26   6.06   6.15
 0.100  3045.   -1.80  4.13  0.453    1.000  12.29  10.88   8.95   7.24   6.72   6.43   6.19   6.00   6.09
 0.110  3069.   -1.74  4.12  0.477    1.000  12.05  10.68   8.79   7.10   6.58   6.29   6.06   5.87   5.96
 0.130  3115.   -1.64  4.12  0.517    1.000  11.64  10.34   8.50   6.88   6.34   6.07   5.85   5.66   5.74
 0.150  3155.   -1.56  4.13  0.554    1.000  11.34  10.07   8.27   6.69   6.14   5.88   5.67   5.49   5.57
 0.170  3192.   -1.48  4.12  0.593    1.000  11.04   9.81   8.05   6.50   5.94   5.69   5.49   5.31   5.39
 0.200  3234.   -1.40  4.13  0.637    1.000  10.73   9.54   7.82   6.31   5.74   5.49   5.30   5.13   5.21
 0.300  3364.   -1.17  4.15  0.765    0.996   9.84   8.76   7.18   5.79   5.19   4.96   4.79   4.64   4.73
 0.400  3518.   -0.99  4.17  0.864    0.926   9.05   8.08   6.67   5.39   4.75   4.54   4.40   4.28   4.38
 0.500  3669.   -0.84  4.19  0.944    0.449   8.37   7.49   6.26   5.07   4.40   4.21   4.09   4.01   4.11
 0.600  3798.   -0.72  4.21  1.010    0.087   7.84   7.03   5.94   4.82   4.14   3.97   3.86   3.80   3.91
 0.700  3923.   -0.61  4.22  1.071    0.104   7.37   6.60   5.65   4.60   3.90   3.75   3.66   3.62   3.74
 0.800  4049.   -0.51  4.23  1.133    0.173   6.98   6.21   5.38   4.38   3.69   3.56   3.48   3.45   3.57
 0.900  4184.   -0.41  4.24  1.192    0.282   6.60   5.82   5.11   4.16   3.49   3.38   3.31   3.29   3.41
 1.000  4327.   -0.30  4.24  1.256    0.448   6.19   5.45   4.84   3.94   3.31   3.21   3.15   3.13   3.25
 1.100  4481.   -0.20  4.24  1.321    0.630   5.80   5.11   4.56   3.73   3.14   3.05   2.99   2.98   3.09
 1.200  4647.   -0.09  4.23  1.398    0.785   5.40   4.77   4.26   3.49   2.96   2.87   2.82   2.81   2.91
 1.300  4837.    0.04  4.21  1.489    0.882   4.98   4.41   3.95   3.24   2.76   2.68   2.64   2.63   2.72
 1.400  5064.    0.18  4.17  1.602    0.938   4.52   4.01   3.59   2.96   2.53   2.46   2.42   2.42   2.49
