BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.6250
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.050  1555.   -4.29  5.14  0.099    0.938  23.39  19.70  17.46  14.15  12.93  12.01  11.03  10.65  11.29
 0.060  1908.   -3.94  5.23  0.098    0.000  21.99  18.73  16.41  12.58  11.80  11.34  10.60  10.24  10.97
 0.070  2248.   -3.63  5.28  0.101    0.000  20.87  17.65  15.09  11.68  11.12  10.80  10.24   9.92  10.55
 0.072  2301.   -3.58  5.28  0.102    0.000  20.41  17.27  14.69  11.43  10.94  10.65  10.15   9.83  10.46
 0.075  2370.   -3.52  5.28  0.103    0.000  19.99  16.97  14.41  11.32  10.80  10.50  10.04   9.74  10.32
 0.080  2485.   -3.41  5.28  0.107    0.000  19.06  16.38  13.88  11.09  10.55  10.25   9.85   9.56  10.04
 0.090  2671.   -3.21  5.27  0.115    0.000  17.71  15.31  12.97  10.64  10.13   9.82   9.48   9.24   9.53
 0.100  2817.   -3.05  5.24  0.126    0.000  16.42  14.47  12.29  10.29   9.76   9.46   9.15   8.94   9.14
 0.110  2917.   -2.92  5.21  0.136    0.000  15.78  13.93  11.85  10.00   9.47   9.18   8.90   8.70   8.87
 0.130  3045.   -2.73  5.17  0.156    0.000  14.63  13.12  11.22   9.56   9.03   8.75   8.50   8.31   8.45
 0.150  3130.   -2.58  5.13  0.174    0.000  13.76  12.52  10.77   9.24   8.71   8.43   8.19   8.02   8.12
 0.170  3191.   -2.46  5.10  0.192    0.000  13.28  12.10  10.44   8.98   8.44   8.17   7.93   7.77   7.86
 0.200  3260.   -2.32  5.07  0.217    0.000  12.74  11.62  10.04   8.64   8.10   7.84   7.62   7.46   7.55
 0.300  3415.   -1.99  4.99  0.290    0.000  11.56  10.55   9.15   7.87   7.31   7.07   6.87   6.74   6.81
 0.400  3522.   -1.72  4.91  0.369    0.000  10.70   9.76   8.45   7.24   6.68   6.45   6.27   6.15   6.22
 0.500  3681.   -1.46  4.81  0.458    0.000   9.75   8.89   7.75   6.63   6.04   5.83   5.67   5.58   5.67
 0.600  3969.   -1.17  4.73  0.552    0.000   8.65   7.88   7.00   6.00   5.37   5.20   5.09   5.05   5.15
 0.700  4385.   -0.87  4.68  0.635    0.000   7.57   6.84   6.24   5.38   4.77   4.67   4.61   4.60   4.71
 0.800  4821.   -0.60  4.63  0.716    0.003   6.60   6.01   5.54   4.84   4.35   4.27   4.23   4.22   4.30
 0.900  5213.   -0.36  4.57  0.811    0.080   5.82   5.34   4.94   4.35   3.95   3.90   3.86   3.86   3.92
 1.000  5580.   -0.14  4.51  0.916    0.307   5.17   4.76   4.41   3.92   3.59   3.54   3.52   3.52   3.56
 1.100  5907.    0.07  4.44  1.040    0.574   4.60   4.24   3.92   3.51   3.23   3.19   3.18   3.17   3.20
 1.200  6183.    0.26  4.37  1.183    0.770   4.09   3.77   3.49   3.13   2.89   2.85   2.84   2.84   2.86
 1.300  6446.    0.44  4.31  1.327    0.880   3.64   3.35   3.10   2.79   2.59   2.56   2.55   2.55   2.55
 1.400  6727.    0.59  4.25  1.462    0.938   3.23   2.98   2.76   2.49   2.32   2.30   2.29   2.29   2.29
