BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.1200
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.030  1779.   -3.88  4.75  0.120    1.000  21.70  18.76  16.62  12.85  11.78  11.00  10.18   9.85  10.39
 0.040  2225.   -3.46  4.84  0.125    1.000  20.41  17.40  14.83  11.26  10.65  10.25   9.76   9.43   9.88
 0.050  2471.   -3.23  4.89  0.133    0.997  18.68  15.97  13.47  10.65  10.13   9.78   9.39   9.11   9.47
 0.060  2635.   -3.06  4.92  0.141    0.901  17.41  15.04  12.68  10.28   9.76   9.42   9.08   8.83   9.09
 0.070  2757.   -2.94  4.93  0.149    0.244  16.22  14.31  12.10  10.00   9.48   9.15   8.83   8.61   8.80
 0.072  2780.   -2.91  4.94  0.151    0.111  16.02  14.17  11.99   9.94   9.42   9.09   8.78   8.56   8.74
 0.075  2810.   -2.88  4.94  0.154    0.017  15.80  13.99  11.85   9.87   9.35   9.02   8.71   8.50   8.67
 0.080  2853.   -2.83  4.94  0.158    0.000  15.60  13.79  11.68   9.75   9.23   8.92   8.62   8.41   8.57
 0.090  2924.   -2.74  4.95  0.167    0.000  15.21  13.43  11.38   9.55   9.03   8.73   8.45   8.25   8.40
 0.100  2978.   -2.67  4.95  0.175    0.000  14.82  13.13  11.14   9.38   8.86   8.57   8.30   8.11   8.25
 0.110  3026.   -2.60  4.95  0.183    0.000  14.39  12.84  10.92   9.23   8.71   8.42   8.16   7.98   8.10
 0.130  3105.   -2.48  4.95  0.199    0.000  13.60  12.33  10.54   8.98   8.45   8.17   7.92   7.75   7.85
 0.150  3162.   -2.38  4.95  0.215    0.000  13.18  11.97  10.26   8.76   8.23   7.95   7.71   7.55   7.64
 0.170  3210.   -2.30  4.95  0.229    0.000  12.83  11.67  10.02   8.57   8.03   7.76   7.53   7.37   7.46
 0.200  3270.   -2.19  4.94  0.251    0.000  12.40  11.29   9.71   8.31   7.77   7.51   7.29   7.14   7.22
 0.300  3411.   -1.91  4.91  0.318    0.000  11.39  10.38   8.96   7.67   7.12   6.87   6.68   6.54   6.61
 0.400  3536.   -1.68  4.87  0.384    0.000  10.57   9.64   8.35   7.14   6.57   6.34   6.16   6.05   6.12
 0.500  3727.   -1.42  4.79  0.471    0.000   9.57   8.72   7.63   6.53   5.94   5.73   5.58   5.50   5.59
 0.600  4030.   -1.15  4.74  0.546    0.000   8.56   7.78   6.95   5.97   5.34   5.19   5.08   5.04   5.15
 0.700  4400.   -0.88  4.69  0.626    0.000   7.57   6.84   6.25   5.40   4.79   4.69   4.63   4.62   4.73
 0.800  4825.   -0.61  4.64  0.708    0.005   6.62   6.03   5.57   4.86   4.37   4.29   4.25   4.24   4.33
 0.900  5208.   -0.37  4.58  0.801    0.082   5.85   5.37   4.97   4.38   3.98   3.92   3.89   3.89   3.95
 1.000  5547.   -0.16  4.53  0.904    0.307   5.23   4.82   4.46   3.96   3.63   3.58   3.56   3.55   3.60
 1.100  5889.    0.05  4.46  1.021    0.574   4.65   4.29   3.97   3.55   3.27   3.23   3.22   3.22   3.25
 1.200  6172.    0.24  4.39  1.154    0.770   4.16   3.83   3.55   3.18   2.95   2.91   2.90   2.90   2.91
 1.300  6455.    0.41  4.33  1.286    0.880   3.70   3.42   3.16   2.85   2.65   2.62   2.62   2.61   2.62
 1.400  6767.    0.56  4.29  1.394    0.938   3.31   3.06   2.84   2.58   2.42   2.39   2.39   2.39   2.38
