BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.0040
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.010  2053.   -3.27  3.91  0.184    1.000  20.31  17.39  14.85  10.84  10.20   9.64   9.12   8.77   9.12
 0.015  2362.   -2.89  3.95  0.215    1.000  18.04  15.42  12.88   9.79   9.29   8.85   8.45   8.15   8.40
 0.020  2535.   -2.61  3.92  0.257    1.000  16.46  14.18  11.77   9.14   8.65   8.24   7.88   7.62   7.79
 0.030  2705.   -2.19  3.78  0.367    1.000  14.56  12.61  10.36   8.11   7.63   7.26   6.94   6.70   6.81
 0.040  2785.   -1.95  3.72  0.457    1.000  13.62  11.82   9.64   7.52   7.04   6.69   6.39   6.16   6.25
 0.050  2834.   -1.78  3.68  0.534    1.000  13.07  11.32   9.18   7.12   6.63   6.30   6.02   5.79   5.88
 0.060  2875.   -1.68  3.69  0.582    1.000  12.73  11.02   8.90   6.88   6.39   6.07   5.81   5.58   5.67
 0.070  2914.   -1.64  3.73  0.595    1.000  12.50  10.84   8.75   6.78   6.28   5.98   5.73   5.51   5.60
 0.072  2921.   -1.63  3.74  0.601    1.000  12.45  10.80   8.71   6.75   6.25   5.95   5.70   5.48   5.57
 0.075  2931.   -1.61  3.75  0.606    1.000  12.38  10.75   8.67   6.73   6.22   5.92   5.67   5.45   5.55
 0.080  2946.   -1.58  3.75  0.625    1.000  12.24  10.63   8.56   6.64   6.13   5.83   5.59   5.37   5.47
 0.090  2976.   -1.53  3.77  0.647    1.000  12.02  10.45   8.41   6.53   6.01   5.72   5.49   5.28   5.37
 0.100  3013.   -1.55  3.86  0.614    1.000  11.92  10.42   8.41   6.60   6.08   5.79   5.57   5.36   5.45
 0.110  3035.   -1.51  3.87  0.639    1.000  11.71  10.25   8.27   6.49   5.96   5.68   5.46   5.26   5.35
 0.130  3075.   -1.42  3.88  0.688    1.000  11.33   9.94   8.01   6.30   5.76   5.48   5.27   5.07   5.16
 0.150  3113.   -1.35  3.89  0.729    1.000  11.02   9.68   7.79   6.13   5.58   5.32   5.11   4.92   5.00
 0.170  3145.   -1.27  3.88  0.782    1.000  10.75   9.44   7.58   5.95   5.39   5.13   4.93   4.75   4.83
 0.200  3206.   -1.19  3.91  0.822    1.000  10.39   9.14   7.35   5.77   5.20   4.95   4.77   4.59   4.68
 0.300  3389.   -0.95  3.94  0.969    1.000   9.33   8.25   6.66   5.25   4.62   4.40   4.25   4.11   4.20
 0.400  3560.   -0.78  3.97  1.078    1.000   8.48   7.54   6.15   4.87   4.19   4.00   3.87   3.77   3.88
 0.500  3704.   -0.63  4.00  1.173    0.995   7.84   6.98   5.76   4.57   3.86   3.69   3.58   3.51   3.63
 0.600  3842.   -0.51  4.02  1.258    0.966   7.27   6.48   5.42   4.31   3.59   3.44   3.35   3.30   3.42
 0.700  3976.   -0.40  4.03  1.334    0.836   6.78   6.03   5.13   4.09   3.37   3.23   3.15   3.12   3.25
 0.800  4096.   -0.30  4.05  1.400    0.712   6.44   5.65   4.87   3.88   3.18   3.06   2.99   2.97   3.10
 0.900  4212.   -0.22  4.06  1.465    0.718   6.09   5.32   4.64   3.70   3.03   2.91   2.85   2.84   2.96
 1.000  4315.   -0.14  4.07  1.527    0.761   5.79   5.05   4.43   3.53   2.89   2.79   2.73   2.71   2.83
 1.100  4417.   -0.06  4.07  1.601    0.826   5.49   4.79   4.21   3.36   2.75   2.65   2.59   2.58   2.70
 1.200  4513.    0.02  4.07  1.669    0.879   5.23   4.56   4.02   3.20   2.62   2.53   2.47   2.47   2.57
 1.300  4609.    0.09  4.07  1.740    0.922   4.98   4.34   3.83   3.04   2.50   2.41   2.36   2.35   2.45
 1.400  4710.    0.16  4.07  1.815    0.952   4.73   4.13   3.64   2.89   2.37   2.29   2.24   2.23   2.33
