Isochrones of the models from:

- Baraffe, Chabrier, Barman, Allard, Hauschildt, 2003, A&A, accepted
   "Evolutionary models for cool brown dwarfs and extrasolar giant planets.
    The case of HD 209458"
    
 NOTE: -M/Ms ---> mass in Msun
       -L/Ls ---> log L/Lsun
       -g    ---> log g
       -R    ---> radius R/Rsun
       -Absolute magnitudes VRI in Cousins System of Bessell
       - JHK  in CIT-system - L' (Mll) in Johnson-Glass - M in Johnson system.


   t (Gyr) =   0.001
--------------------------------------------------------------------------------
 M/Ms    Teff      L/Ls     g     R     Mv     Mr       Mi    Mj     Mh      Mk    Mll    Mm
--------------------------------------------------------------------------------
 0.0005   628.   -5.370  2.645  0.176  27.57  23.01  20.15  16.55  16.28  16.43  13.15  12.45  
 0.0010   942.   -4.715  2.996  0.166  25.16  20.65  18.08  14.52  14.11  13.69  11.52  11.45  
 0.0020  1285.   -4.137  3.259  0.174  22.07  18.30  16.09  12.87  12.38  11.95  10.27  10.64  
 0.0030  1553.   -3.746  3.372  0.187  20.51  17.13  14.78  11.81  11.36  10.89   9.57  10.09  
 0.0040  1747.   -3.482  3.438  0.200  19.66  16.37  14.15  11.12  10.71  10.21   9.12   9.66  
 0.0050  1901.   -3.273  3.472  0.215  19.00  15.72  13.45  10.60  10.22   9.73   8.77   9.28  
 0.0060  2004.   -3.129  3.499  0.228  18.48  15.25  12.96  10.23   9.87   9.40   8.52   8.97  
 0.0070  2098.   -2.998  3.515  0.242  17.94  14.82  12.50   9.91   9.55   9.11   8.29   8.69  
 0.0080  2159.   -2.893  3.517  0.258  17.51  14.50  12.17   9.67   9.30   8.87   8.08   8.45  
 0.0090  2207.   -2.811  3.525  0.271  17.17  14.25  11.92   9.48   9.11   8.68   7.92   8.26  
 0.0100  2251.   -2.735  3.529  0.285  16.85  14.02  11.70   9.30   8.93   8.52   7.78   8.09  
 0.0120  2321.   -2.615  3.541  0.307  16.33  13.66  11.34   9.02   8.65   8.25   7.54   7.81  
 0.0150  2400.   -2.455  3.537  0.345  15.64  13.16  10.87   8.64   8.27   7.89   7.21   7.45  
 0.0200  2484.   -2.280  3.546  0.395  14.88  12.60  10.35   8.22   7.86   7.49   6.85   7.05  
 0.0300  2598.   -2.174  3.694  0.408  14.17  12.16   9.99   8.00   7.62   7.27   6.68   6.85  
 0.0400  2746.   -1.939  3.681  0.478  12.99  11.30   9.35   7.50   7.10   6.76   6.22   6.31  
 0.0500  2768.   -1.637  3.489  0.666  12.21  10.53   8.59   6.74   6.35   6.02   5.48   5.57  
 0.0600  2824.   -1.604  3.570  0.665  11.95  10.35   8.47   6.68   6.28   5.96   5.44   5.52  
 0.0700  2853.   -1.478  3.529  0.753  11.58  10.00   8.14   6.37   5.96   5.65   5.15   5.23  
 0.0720  2858.   -1.455  3.520  0.771  11.51   9.94   8.08   6.31   5.90   5.60   5.10   5.18  
 0.0750  2833.   -1.389  3.457  0.847  11.44   9.83   7.94   6.14   5.73   5.42   4.91   5.00  
 0.0800  2869.   -1.373  3.492  0.840  11.29   9.73   7.88   6.11   5.70   5.40   4.90   4.98  
 0.0900  2867.   -1.289  3.457  0.927  11.11   9.53   7.67   5.89   5.48   5.18   4.69   4.77  
 0.1000  2856.   -1.187  3.394  1.051  10.92   9.31   7.43   5.63   5.22   4.92   4.43   4.51  
