Isochrones of the models from:

- Baraffe, Chabrier, Barman, Allard, Hauschildt, 2003, A&A, accepted
   "Evolutionary models for cool brown dwarfs and extrasolar giant planets.
    The case of HD 209458"
    
 NOTE: -M/Ms ---> mass in Msun
       -L/Ls ---> log L/Lsun
       -g    ---> log g
       -R    ---> radius R/Rsun
       -Absolute magnitudes VRI in Cousins System of Bessell
       - JHK  in CIT-system - L' (Mll) in Johnson-Glass - M in Johnson system.


   t (Gyr) =   0.010
--------------------------------------------------------------------------------
 M/Ms    Teff      L/Ls     g     R     Mv     Mr       Mi    Mj     Mh      Mk    Mll    Mm
--------------------------------------------------------------------------------
 0.0005   394.   -6.380  2.847  0.140  30.74  26.62  23.47  20.70  20.16  23.40  15.83  14.61  
 0.0010   540.   -5.870  3.184  0.134  28.50  24.15  21.21  18.12  17.79  19.05  14.48  13.50  
 0.0020   746.   -5.298  3.474  0.136  26.99  22.47  19.71  16.02  15.79  15.86  13.02  12.47  
 0.0030   920.   -4.914  3.631  0.139  25.96  21.46  18.78  14.88  14.65  14.33  12.09  11.84  
 0.0040  1064.   -4.645  3.739  0.141  24.93  20.54  17.94  14.12  13.85  13.51  11.46  11.45  
 0.0050  1193.   -4.429  3.820  0.144  23.89  19.67  17.18  13.52  13.22  12.92  10.99  11.18  
 0.0060  1316.   -4.244  3.883  0.147  22.89  18.90  16.49  13.03  12.68  12.41  10.62  10.95  
 0.0070  1426.   -4.091  3.937  0.149  22.08  18.29  15.74  12.64  12.27  11.99  10.33  10.77  
 0.0080  1536.   -3.945  3.978  0.152  21.33  17.78  15.37  12.25  11.87  11.56  10.07  10.58  
 0.0090  1635.   -3.820  4.013  0.155  20.76  17.38  15.16  11.92  11.54  11.19   9.84  10.40  
 0.0100  1731.   -3.704  4.042  0.158  20.29  17.00  14.79  11.63  11.26  10.87   9.65  10.23  
 0.0120  1915.   -3.488  4.081  0.165  19.46  16.27  14.01  11.10  10.75  10.33   9.32   9.87  
 0.0150  2188.   -3.125  4.046  0.192  17.94  15.02  12.71  10.25   9.87   9.47   8.68   9.07  
 0.0200  2442.   -2.709  3.945  0.249  16.07  13.72  11.47   9.30   8.91   8.54   7.88   8.11  
 0.0300  2622.   -2.435  3.971  0.296  14.67  12.74  10.63   8.68   8.28   7.93   7.35   7.50  
 0.0400  2734.   -2.411  4.145  0.280  14.16  12.46  10.49   8.67   8.25   7.92   7.37   7.50  
 0.0500  2821.   -2.233  4.118  0.323  13.43  11.86  10.00   8.26   7.84   7.52   7.00   7.10  
 0.0600  2871.   -2.188  4.184  0.328  13.18  11.67   9.85   8.16   7.73   7.43   6.93   7.03  
 0.0700  2919.   -2.099  4.189  0.352  12.83  11.37   9.60   7.95   7.52   7.22   6.74   6.83  
 0.0720  2927.   -2.083  4.190  0.357  12.77  11.32   9.55   7.91   7.48   7.18   6.70   6.80  
 0.0750  2942.   -2.022  4.156  0.379  12.58  11.14   9.40   7.76   7.33   7.04   6.56   6.65  
 0.0800  2958.   -2.016  4.188  0.377  12.53  11.10   9.37   7.75   7.32   7.03   6.56   6.65  
 0.0900  2993.   -1.943  4.186  0.401  12.26  10.87   9.17   7.58   7.14   6.86   6.41   6.49  
 0.1000  3024.   -1.854  4.161  0.435  11.97  10.61   8.94   7.37   6.93   6.65   6.21   6.29  

