Isochrones of the models from:

- Baraffe, Chabrier, Barman, Allard, Hauschildt, 2003, A&A, accepted
   "Evolutionary models for cool brown dwarfs and extrasolar giant planets.
    The case of HD 209458"
    
 NOTE: -M/Ms ---> mass in Msun
       -L/Ls ---> log L/Lsun
       -g    ---> log g
       -R    ---> radius R/Rsun
       -Absolute magnitudes VRI in Cousins System of Bessell
       - JHK  in CIT-system - L' (Mll) in Johnson-Glass - M in Johnson system.


   t (Gyr) =   1.000
--------------------------------------------------------------------------------
 M/Ms    Teff      L/Ls     g     R     Mv     Mr       Mi    Mj     Mh      Mk    Mll    Mm
--------------------------------------------------------------------------------
 0.0005   111.   -8.851  3.115  0.102  60.75  55.23  50.50  40.19  35.07  55.87  24.15  21.49  
 0.0010   160.   -8.185  3.386  0.106  54.15  49.10  44.69  35.58  32.06  49.17  22.40  19.95  
 0.0020   226.   -7.560  3.662  0.109  44.39  39.91  36.34  29.28  27.80  40.31  20.18  17.94  
 0.0030   270.   -7.244  3.827  0.111  37.64  33.60  30.73  25.29  24.99  34.51  18.84  16.66  
 0.0040   304.   -7.031  3.950  0.111  32.62  28.93  26.60  22.49  22.91  30.25  17.91  15.73  
 0.0050   342.   -6.831  4.051  0.110  31.58  27.79  25.36  21.71  21.98  28.28  17.38  15.36  
 0.0060   377.   -6.664  4.134  0.110  30.53  26.63  24.12  20.96  21.07  26.39  16.87  15.01  
 0.0070   403.   -6.556  4.208  0.109  29.77  25.79  23.26  20.41  20.43  25.04  16.54  14.76  
 0.0080   438.   -6.417  4.272  0.108  29.37  25.31  22.73  19.93  19.89  23.77  16.18  14.50  
 0.0090   464.   -6.325  4.331  0.107  29.06  24.94  22.33  19.59  19.49  22.85  15.93  14.31  
 0.0100   491.   -6.235  4.383  0.107  28.74  24.55  21.89  19.23  19.07  21.90  15.65  14.11  
 0.0120   578.   -5.955  4.467  0.106  28.09  23.75  21.01  18.15  18.03  19.86  14.88  13.60  
 0.0150   628.   -5.835  4.587  0.103  27.86  23.47  20.72  17.70  17.62  19.05  14.56  13.38  
 0.0200   766.   -5.514  4.736  0.100  27.31  22.85  20.05  16.56  16.55  17.19  13.72  12.80  
 0.0300  1009.   -5.071  4.948  0.096  26.40  21.96  19.15  15.10  15.16  15.14  12.67  12.15  
 0.0400  1271.   -4.696  5.099  0.093  25.19  20.99  18.13  14.04  14.04  13.90  11.88  11.80  
 0.0500  1543.   -4.374  5.211  0.092  23.73  19.81  17.15  13.21  13.12  13.04  11.25  11.53  
 0.0600  1801.   -4.106  5.291  0.092  22.13  18.59  16.10  12.56  12.36  12.27  10.77  11.26  
 0.0700  2082.   -3.829  5.333  0.094  20.44  17.31  14.87  11.93  11.62  11.43  10.32  10.85  
 0.0720  2140.   -3.772  5.336  0.095  20.12  17.05  14.61  11.80  11.48  11.27  10.23  10.75  
 0.0750  2234.   -3.679  5.334  0.098  19.59  16.63  14.21  11.60  11.25  11.02  10.08  10.58  
 0.0800  2383.   -3.527  5.323  0.102  18.67  15.96  13.61  11.26  10.89  10.63   9.84  10.27  
 0.0900  2627.   -3.268  5.285  0.113  16.98  14.86  12.67  10.72  10.30  10.03   9.40   9.72  
 0.1000  2784.   -3.083  5.246  0.125  15.86  14.09  12.09  10.33   9.89   9.62   9.07   9.31  


