Isochrones of the models from:

- Baraffe, Chabrier, Barman, Allard, Hauschildt, 2003, A&A, accepted
   "Evolutionary models for cool brown dwarfs and extrasolar giant planets.
    The case of HD 209458"
    
 NOTE: -M/Ms ---> mass in Msun
       -L/Ls ---> log L/Lsun
       -g    ---> log g
       -R    ---> radius R/Rsun
       -Absolute magnitudes VRI in Cousins System of Bessell
       - JHK  in CIT-system - L' (Mll) in Johnson-Glass - M in Johnson system.


   t (Gyr) =   0.005
--------------------------------------------------------------------------------
 M/Ms    Teff      L/Ls     g     R     Mv     Mr       Mi    Mj     Mh      Mk    Mll    Mm
--------------------------------------------------------------------------------
 0.0005   455.   -6.079  2.794  0.148  29.65  25.39  22.25  19.37  18.91  20.96  15.03  13.92  
 0.0010   644.   -5.522  3.141  0.141  27.67  23.18  20.34  16.84  16.57  16.97  13.56  12.85  
 0.0020   901.   -4.920  3.425  0.143  26.00  21.48  18.80  14.94  14.66  14.30  12.07  11.83  
 0.0030  1098.   -4.552  3.576  0.148  24.45  20.08  17.54  13.89  13.56  13.21  11.21  11.31  
 0.0040  1263.   -4.283  3.675  0.152  22.97  18.96  16.61  13.16  12.79  12.46  10.66  10.96  
 0.0050  1413.   -4.061  3.745  0.157  21.84  18.13  15.69  12.58  12.17  11.85  10.23  10.67  
 0.0060  1543.   -3.886  3.802  0.161  21.06  17.57  15.19  12.11  11.72  11.36   9.92  10.44  
 0.0070  1668.   -3.725  3.843  0.166  20.40  17.08  14.85  11.69  11.30  10.90   9.64  10.20  
 0.0080  1786.   -3.579  3.874  0.171  19.86  16.61  14.38  11.33  10.95  10.52   9.40   9.97  
 0.0090  1885.   -3.460  3.900  0.176  19.43  16.22  13.96  11.04  10.68  10.24   9.22   9.76  
 0.0100  1965.   -3.363  3.921  0.181  19.05  15.87  13.61  10.80  10.44  10.00   9.06   9.57  
 0.0120  2102.   -3.194  3.948  0.192  18.36  15.28  12.98  10.39  10.03   9.61   8.77   9.21  
 0.0150  2264.   -2.981  3.960  0.212  17.38  14.60  12.30   9.92   9.53   9.14   8.39   8.72  
 0.0200  2452.   -2.661  3.905  0.261  15.91  13.59  11.34   9.18   8.79   8.42   7.77   8.00  
 0.0300  2616.   -2.262  3.795  0.363  14.29  12.34  10.21   8.23   7.85   7.50   6.91   7.07  
 0.0400  2754.   -2.068  3.814  0.410  13.26  11.59   9.65   7.82   7.42   7.08   6.54   6.63  
 0.0500  2806.   -1.846  3.722  0.510  12.56  10.96   9.07   7.28   6.88   6.55   6.03   6.11  
 0.0600  2875.   -1.902  3.899  0.455  12.48  10.96   9.16   7.45   7.03   6.72   6.22   6.30  
 0.0700  2916.   -1.829  3.917  0.481  12.19  10.72   8.95   7.28   6.85   6.55   6.07   6.14  
 0.0720  2921.   -1.814  3.918  0.488  12.14  10.67   8.91   7.24   6.82   6.51   6.03   6.11  
 0.0750  2912.   -1.716  3.832  0.550  11.94  10.46   8.68   6.99   6.57   6.27   5.78   5.86  
 0.0800  2946.   -1.760  3.925  0.510  11.95  10.51   8.77   7.11   6.68   6.39   5.92   6.00  
 0.0900  2974.   -1.696  3.928  0.540  11.73  10.31   8.59   6.96   6.53   6.24   5.78   5.85  
 0.1000  2983.   -1.582  3.865  0.611  11.45  10.03   8.31   6.67   6.24   5.95   5.50   5.58  

